,val,err,aerr,conv,env,repeat,target,edge,failed
1308,132.66,0.8,3022095.26,1.0,complex,1,cmet,edge_CHEMBL3402741_400_CHEMBL3402756_2.7,False
1309,-85.66,0.23,0.25,0.07,complex,1,cmet,edge_CHEMBL3402741_400_CHEMBL3402763_90,False
1310,-71.17,0.33,0.37,0.0,complex,1,cmet,edge_CHEMBL3402741_400_CHEMBL3402764_90,False
1311,257.84,1.52,873.2,1.0,complex,1,cmet,edge_CHEMBL3402742_23_CHEMBL3402756_2.7,False
1312,50.25,0.28,0.33,0.21,complex,1,cmet,edge_CHEMBL3402742_23_CHEMBL3402763_90,False
1313,-28.5,0.22,0.26,0.1,complex,1,cmet,edge_CHEMBL3402743_42_CHEMBL3402742_23,False
1314,221.79,0.6,5375.05,1.0,complex,1,cmet,edge_CHEMBL3402743_42_CHEMBL3402756_2.7,False
1315,248.95,1.14,1220.15,1.0,complex,1,cmet,edge_CHEMBL3402743_42_CHEMBL3402758_10,False
1316,293.43,0.87,25463.94,1.0,complex,1,cmet,edge_CHEMBL3402743_42_CHEMBL3402760_1,False
1317,257.83,0.57,12939.21,1.0,complex,1,cmet,edge_CHEMBL3402743_42_CHEMBL3402762_1,False
1318,17.87,0.36,0.37,-0.03,complex,1,cmet,edge_CHEMBL3402743_42_CHEMBL3402763_90,False
1319,31.14,0.15,0.12,-0.14,complex,1,cmet,edge_CHEMBL3402743_42_CHEMBL3402764_90,False
1320,-3.8,0.07,0.07,0.05,complex,1,cmet,edge_CHEMBL3402744_300_4_CHEMBL3402745_200_5,False
1321,138.39,0.2,0.19,-0.1,complex,1,cmet,edge_CHEMBL3402744_300_4_CHEMBL3402752_30000_12,False
1322,278.61,1.27,73.48,1.0,complex,1,cmet,edge_CHEMBL3402744_300_4_CHEMBL3402756_2.7,False
1323,304.34,0.99,15.21,1.0,complex,1,cmet,edge_CHEMBL3402744_300_4_CHEMBL3402757_6.5,False
1324,25.54,0.25,1.1,0.93,complex,1,cmet,edge_CHEMBL3402745_200_5_CHEMBL3402742_23,False
1325,57.0,0.47,2.67,0.97,complex,1,cmet,edge_CHEMBL3402745_200_5_CHEMBL3402743_42,False
1326,173.98,0.14,0.19,0.29,complex,1,cmet,edge_CHEMBL3402745_200_5_CHEMBL3402748_5300_8,False
1327,139.79,0.29,1.25,0.91,complex,1,cmet,edge_CHEMBL3402745_200_5_CHEMBL3402752_30000_12,False
1328,283.19,0.72,10.52,1.0,complex,1,cmet,edge_CHEMBL3402745_200_5_CHEMBL3402756_2.7,False
1329,-135.13,0.26,0.73,0.81,complex,1,cmet,edge_CHEMBL3402747_3400_7_CHEMBL3402744_300_4,False
1330,33.63,0.05,0.32,0.91,complex,1,cmet,edge_CHEMBL3402747_3400_7_CHEMBL3402749_500_9,False
1331,0.52,0.04,0.04,0.0,complex,1,cmet,edge_CHEMBL3402747_3400_7_CHEMBL3402751_2100_11,False
1332,2.69,0.04,0.04,-0.06,complex,1,cmet,edge_CHEMBL3402747_3400_7_CHEMBL3402752_30000_12,False
1333,131.55,0.05,0.05,-0.07,complex,1,cmet,edge_CHEMBL3402747_3400_7_CHEMBL3402755_4200_15,False
1334,-29.4,0.12,1.2,0.98,complex,1,cmet,edge_CHEMBL3402748_5300_8_CHEMBL3402751_2100_11,False
1335,-4.56,0.07,0.07,-0.07,complex,1,cmet,edge_CHEMBL3402749_500_9_CHEMBL3402748_5300_8,False
1336,-3.35,0.04,0.08,0.46,complex,1,cmet,edge_CHEMBL3402750_400_10_CHEMBL3402748_5300_8,False
1337,5.04,0.03,0.05,0.14,complex,1,cmet,edge_CHEMBL3402750_400_10_CHEMBL3402749_500_9,False
1338,-28.32,0.06,0.62,0.97,complex,1,cmet,edge_CHEMBL3402750_400_10_CHEMBL3402751_2100_11,False
1339,-2.77,0.04,0.05,0.15,complex,1,cmet,edge_CHEMBL3402752_30000_12_CHEMBL3402751_2100_11,False
1340,50.89,0.11,0.12,0.03,complex,1,cmet,edge_CHEMBL3402752_30000_12_CHEMBL3402754_40_14,False
1341,-102.74,0.11,0.11,-0.01,complex,1,cmet,edge_CHEMBL3402753_200_13_CHEMBL3402747_3400_7,False
1342,-81.01,0.11,0.11,0.02,complex,1,cmet,edge_CHEMBL3402753_200_13_CHEMBL3402750_400_10,False
1343,27.28,0.03,0.03,-0.18,complex,1,cmet,edge_CHEMBL3402753_200_13_CHEMBL3402755_4200_15,False
1344,84.23,0.36,1.6,0.93,complex,1,cmet,edge_CHEMBL3402753_200_13_CHEMBL3402761_1_21,False
1345,-80.13,0.06,0.07,0.18,complex,1,cmet,edge_CHEMBL3402755_4200_15_CHEMBL3402754_40_14,False
1346,-24.62,0.11,0.13,0.25,complex,1,cmet,edge_CHEMBL3402757_6.5_CHEMBL3402756_2.7,False
1347,-277.96,1.18,7225.48,1.0,complex,1,cmet,edge_CHEMBL3402758_10_CHEMBL3402742_23,False
1348,-26.07,0.08,0.09,0.07,complex,1,cmet,edge_CHEMBL3402758_10_CHEMBL3402756_2.7,False
1349,47.74,0.15,0.53,0.86,complex,1,cmet,edge_CHEMBL3402758_10_CHEMBL3402760_1,False
1350,-35.29,0.21,0.22,-0.0,complex,1,cmet,edge_CHEMBL3402759_5.7_CHEMBL3402757_6.5,False
1351,-32.49,0.11,0.23,0.61,complex,1,cmet,edge_CHEMBL3402759_5.7_CHEMBL3402758_10,False
1352,-268.89,1.38,46.55,1.0,complex,1,cmet,edge_CHEMBL3402759_5.7_CHEMBL3402763_90,False
1353,-141.05,0.33,0.34,0.1,complex,1,cmet,edge_CHEMBL3402761_1_21_CHEMBL3402754_40_14,False
1354,-58.19,0.2,0.92,0.92,complex,1,cmet,edge_CHEMBL3402761_1_21_CHEMBL3402755_4200_15,False
1355,23.7,0.24,0.29,0.22,complex,1,cmet,edge_CHEMBL3402761_1_21_CHEMBL3402760_1,False
1356,-11.18,0.14,0.16,0.11,complex,1,cmet,edge_CHEMBL3402761_1_21_CHEMBL3402762_1,False
1357,33.58,0.28,0.29,0.09,complex,1,cmet,edge_CHEMBL3402762_1_CHEMBL3402760_1,False
1358,11.66,0.22,0.21,-0.03,complex,1,cmet,edge_CHEMBL3402763_90_CHEMBL3402764_90,False
1359,10.83,0.22,0.23,0.05,complex,1,cmet,edge_CHEMBL3402765_11-charged-pKa-8.1_CHEMBL3402742_23,False
1360,40.84,0.23,0.48,0.61,complex,1,cmet,edge_CHEMBL3402765_11-charged-pKa-8.1_CHEMBL3402743_42,False
1361,-10.0,0.38,0.41,0.14,complex,1,cmet,edge_CHEMBL3402765_11-charged-pKa-8.1_CHEMBL3402744_300_4,False
1362,-13.62,0.27,0.26,0.09,complex,1,cmet,edge_CHEMBL3402765_11-charged-pKa-8.1_CHEMBL3402745_200_5,False
1363,341.97,0.9,430.59,1.0,complex,1,cmet,edge_CHEMBL3402765_11-charged-pKa-8.1_CHEMBL3402760_1,False
1364,72.83,0.26,0.28,-0.06,complex,1,cmet,edge_CHEMBL3402765_11-charged-pKa-8.1_CHEMBL3402764_90,False
1365,132.75,0.86,2983203644.32,1.0,complex,2,cmet,edge_CHEMBL3402741_400_CHEMBL3402756_2.7,False
1366,-85.6,0.26,0.23,-0.14,complex,2,cmet,edge_CHEMBL3402741_400_CHEMBL3402763_90,False
1367,-71.73,0.31,0.36,0.17,complex,2,cmet,edge_CHEMBL3402741_400_CHEMBL3402764_90,False
1368,254.85,1.28,2277.5,1.0,complex,2,cmet,edge_CHEMBL3402742_23_CHEMBL3402756_2.7,False
1369,51.2,0.17,0.24,0.22,complex,2,cmet,edge_CHEMBL3402742_23_CHEMBL3402763_90,False
1370,-28.01,0.2,0.32,0.32,complex,2,cmet,edge_CHEMBL3402743_42_CHEMBL3402742_23,False
1371,222.19,0.65,3219.32,1.0,complex,2,cmet,edge_CHEMBL3402743_42_CHEMBL3402756_2.7,False
1372,246.6,0.58,9430.78,1.0,complex,2,cmet,edge_CHEMBL3402743_42_CHEMBL3402758_10,False
1373,290.37,0.81,947118.5,1.0,complex,2,cmet,edge_CHEMBL3402743_42_CHEMBL3402760_1,False
1374,259.41,0.62,860.65,1.0,complex,2,cmet,edge_CHEMBL3402743_42_CHEMBL3402762_1,False
1375,16.71,0.16,0.27,0.38,complex,2,cmet,edge_CHEMBL3402743_42_CHEMBL3402763_90,False
1376,31.61,0.11,0.12,0.15,complex,2,cmet,edge_CHEMBL3402743_42_CHEMBL3402764_90,False
1377,-3.93,0.06,0.07,0.07,complex,2,cmet,edge_CHEMBL3402744_300_4_CHEMBL3402745_200_5,False
1378,138.46,0.23,0.24,0.0,complex,2,cmet,edge_CHEMBL3402744_300_4_CHEMBL3402752_30000_12,False
1379,279.44,0.4,59.78,1.0,complex,2,cmet,edge_CHEMBL3402744_300_4_CHEMBL3402756_2.7,False
1380,304.46,1.25,33.41,1.0,complex,2,cmet,edge_CHEMBL3402744_300_4_CHEMBL3402757_6.5,False
1381,26.35,0.51,0.91,0.72,complex,2,cmet,edge_CHEMBL3402745_200_5_CHEMBL3402742_23,False
1382,57.87,0.55,0.64,-0.0,complex,2,cmet,edge_CHEMBL3402745_200_5_CHEMBL3402743_42,False
1383,173.55,0.12,0.13,0.04,complex,2,cmet,edge_CHEMBL3402745_200_5_CHEMBL3402748_5300_8,False
1384,142.34,0.12,0.16,0.22,complex,2,cmet,edge_CHEMBL3402745_200_5_CHEMBL3402752_30000_12,False
1385,282.52,1.2,3.55,0.98,complex,2,cmet,edge_CHEMBL3402745_200_5_CHEMBL3402756_2.7,False
1386,-137.36,0.25,0.26,0.05,complex,2,cmet,edge_CHEMBL3402747_3400_7_CHEMBL3402744_300_4,False
1387,33.82,0.05,0.37,0.93,complex,2,cmet,edge_CHEMBL3402747_3400_7_CHEMBL3402749_500_9,False
1388,1.09,0.04,0.06,0.13,complex,2,cmet,edge_CHEMBL3402747_3400_7_CHEMBL3402751_2100_11,False
1389,2.56,0.05,0.04,-0.11,complex,2,cmet,edge_CHEMBL3402747_3400_7_CHEMBL3402752_30000_12,False
1390,131.63,0.05,0.06,0.1,complex,2,cmet,edge_CHEMBL3402747_3400_7_CHEMBL3402755_4200_15,False
1391,-29.21,0.14,0.89,0.95,complex,2,cmet,edge_CHEMBL3402748_5300_8_CHEMBL3402751_2100_11,False
1392,-4.66,0.06,0.05,-0.04,complex,2,cmet,edge_CHEMBL3402749_500_9_CHEMBL3402748_5300_8,False
1393,-3.12,0.05,0.05,0.15,complex,2,cmet,edge_CHEMBL3402750_400_10_CHEMBL3402748_5300_8,False
1394,5.06,0.04,0.04,-0.15,complex,2,cmet,edge_CHEMBL3402750_400_10_CHEMBL3402749_500_9,False
1395,-28.08,0.09,0.51,0.92,complex,2,cmet,edge_CHEMBL3402750_400_10_CHEMBL3402751_2100_11,False
1396,-2.5,0.03,0.03,0.06,complex,2,cmet,edge_CHEMBL3402752_30000_12_CHEMBL3402751_2100_11,False
1397,48.91,0.11,0.12,0.05,complex,2,cmet,edge_CHEMBL3402752_30000_12_CHEMBL3402754_40_14,False
1398,-102.86,0.1,0.12,0.18,complex,2,cmet,edge_CHEMBL3402753_200_13_CHEMBL3402747_3400_7,False
1399,-81.15,0.08,0.08,-0.09,complex,2,cmet,edge_CHEMBL3402753_200_13_CHEMBL3402750_400_10,False
1400,26.79,0.04,0.03,-0.03,complex,2,cmet,edge_CHEMBL3402753_200_13_CHEMBL3402755_4200_15,False
1401,83.76,0.23,1.22,0.94,complex,2,cmet,edge_CHEMBL3402753_200_13_CHEMBL3402761_1_21,False
1402,-80.48,0.07,0.06,-0.36,complex,2,cmet,edge_CHEMBL3402755_4200_15_CHEMBL3402754_40_14,False
1403,-25.08,0.1,0.11,0.01,complex,2,cmet,edge_CHEMBL3402757_6.5_CHEMBL3402756_2.7,False
