,val,err,aerr,conv,env,repeat,target,edge
0,-7.31,0.07,0.09,0.12,complex,1,jnk1,edge_17124-1_18634-1
1,0.72,0.14,0.11,-0.15,complex,1,jnk1,edge_18626-1_18624-1
2,-0.41,0.12,0.15,0.13,complex,1,jnk1,edge_18636-1_18625-1
3,6.1,0.07,0.09,0.12,complex,1,jnk1,edge_18632-1_18624-1
4,2.48,0.09,0.08,-0.03,complex,1,jnk1,edge_18635-1_18625-1
5,4.87,0.09,0.09,0.03,complex,1,jnk1,edge_18626-1_18658-1
6,1.48,0.17,0.15,-0.09,complex,1,jnk1,edge_18639-1_18658-1
7,2.3,0.09,0.09,-0.11,complex,1,jnk1,edge_18626-1_18625-1
8,82.77,0.11,0.2,0.49,complex,1,jnk1,edge_18638-1_18658-1
9,-1.11,0.08,0.08,0.15,complex,1,jnk1,edge_18628-1_18624-1
10,-111.77,0.24,0.34,0.25,complex,1,jnk1,edge_18631-1_18660-1
11,68.82,0.15,0.15,0.07,complex,1,jnk1,edge_18638-1_18634-1
12,-5.88,0.08,0.07,-0.03,complex,1,jnk1,edge_18626-1_18632-1
13,-1.02,0.1,0.13,0.29,complex,1,jnk1,edge_18626-1_18630-1
14,5.15,0.1,0.11,0.07,complex,1,jnk1,edge_18631-1_18624-1
15,2.39,0.08,0.11,0.24,complex,1,jnk1,edge_18629-1_18627-1
16,-43.89,0.1,0.1,-0.07,complex,1,jnk1,edge_18634-1_18637-1
17,0.97,0.07,0.07,0.1,complex,1,jnk1,edge_18626-1_18627-1
18,-72.56,0.26,0.29,-0.03,complex,1,jnk1,edge_18631-1_18652-1
19,45.52,0.2,0.16,-0.13,complex,1,jnk1,edge_18637-1_18631-1
20,-6.98,0.25,0.27,0.02,complex,1,jnk1,edge_18626-1_18634-1
21,1.37,0.05,0.06,0.07,complex,1,jnk1,edge_18633-1_18624-1
22,-5.48,0.16,0.12,-0.25,complex,1,jnk1,edge_17124-1_18631-1
23,-1.12,0.06,0.06,0.11,complex,1,jnk1,edge_18627-1_18630-1
24,-14.87,0.08,0.07,-0.18,complex,1,jnk1,edge_18659-1_18634-1
