,val,err,aerr,conv,env,repeat,target,edge,failed
1308,17.69,1.09,2192163.11,1.0,complex,1,cmet,edge_CHEMBL3402741_400_CHEMBL3402756_2.7,False
1309,-11.92,0.19,0.17,0.01,complex,1,cmet,edge_CHEMBL3402741_400_CHEMBL3402763_90,False
1310,-0.37,0.45,0.54,0.14,complex,1,cmet,edge_CHEMBL3402741_400_CHEMBL3402764_90,False
1311,9.58,0.47,228.0,1.0,complex,1,cmet,edge_CHEMBL3402742_23_CHEMBL3402756_2.7,False
1312,-8.08,0.19,0.19,0.11,complex,1,cmet,edge_CHEMBL3402742_23_CHEMBL3402763_90,False
1313,2.03,0.18,0.2,-0.01,complex,1,cmet,edge_CHEMBL3402743_42_CHEMBL3402742_23,False
1314,11.67,0.52,536.05,1.0,complex,1,cmet,edge_CHEMBL3402743_42_CHEMBL3402756_2.7,False
1315,-9.89,0.58,105.71,1.0,complex,1,cmet,edge_CHEMBL3402743_42_CHEMBL3402758_10,False
1316,21.49,0.85,2498.02,1.0,complex,1,cmet,edge_CHEMBL3402743_42_CHEMBL3402760_1,False
1317,21.93,0.3,219.2,1.0,complex,1,cmet,edge_CHEMBL3402743_42_CHEMBL3402762_1,False
1318,-4.59,0.21,0.24,0.18,complex,1,cmet,edge_CHEMBL3402743_42_CHEMBL3402763_90,False
1319,8.03,0.09,0.09,0.06,complex,1,cmet,edge_CHEMBL3402743_42_CHEMBL3402764_90,False
1320,-3.51,0.11,0.11,0.03,complex,1,cmet,edge_CHEMBL3402744_300_4_CHEMBL3402745_200_5,False
1321,48.2,0.28,0.26,0.04,complex,1,cmet,edge_CHEMBL3402744_300_4_CHEMBL3402752_30000_12,False
1322,51.09,0.65,3.64,0.98,complex,1,cmet,edge_CHEMBL3402744_300_4_CHEMBL3402756_2.7,False
1323,61.23,0.36,0.82,0.74,complex,1,cmet,edge_CHEMBL3402744_300_4_CHEMBL3402757_6.5,False
1324,39.45,0.2,0.2,-0.0,complex,1,cmet,edge_CHEMBL3402745_200_5_CHEMBL3402742_23,False
