,val,err,aerr,conv,env,repeat,target,edge
0,-7.31,0.08,0.09,0.12,complex,1,jnk1,edge_17124-1_18634-1
1,0.72,0.1,0.11,-0.15,complex,1,jnk1,edge_18626-1_18624-1
2,-0.41,0.13,0.15,0.13,complex,1,jnk1,edge_18636-1_18625-1
3,6.1,0.07,0.09,0.12,complex,1,jnk1,edge_18632-1_18624-1
4,2.48,0.08,0.08,-0.03,complex,1,jnk1,edge_18635-1_18625-1
5,4.87,0.09,0.09,0.03,complex,1,jnk1,edge_18626-1_18658-1
6,1.48,0.17,0.15,-0.09,complex,1,jnk1,edge_18639-1_18658-1
7,2.3,0.09,0.09,-0.11,complex,1,jnk1,edge_18626-1_18625-1
8,82.77,0.12,0.2,0.49,complex,1,jnk1,edge_18638-1_18658-1
9,-1.11,0.07,0.08,0.15,complex,1,jnk1,edge_18628-1_18624-1
10,-111.77,0.3,0.34,0.25,complex,1,jnk1,edge_18631-1_18660-1
11,68.82,0.15,0.15,0.07,complex,1,jnk1,edge_18638-1_18634-1
12,-5.88,0.07,0.07,-0.03,complex,1,jnk1,edge_18626-1_18632-1
13,-1.02,0.1,0.13,0.29,complex,1,jnk1,edge_18626-1_18630-1
14,5.15,0.09,0.11,0.07,complex,1,jnk1,edge_18631-1_18624-1
15,2.39,0.08,0.11,0.24,complex,1,jnk1,edge_18629-1_18627-1
16,-43.89,0.11,0.1,-0.07,complex,1,jnk1,edge_18634-1_18637-1
17,0.97,0.06,0.07,0.1,complex,1,jnk1,edge_18626-1_18627-1
18,-72.56,0.32,0.29,-0.03,complex,1,jnk1,edge_18631-1_18652-1
19,45.52,0.18,0.16,-0.13,complex,1,jnk1,edge_18637-1_18631-1
20,-6.98,0.28,0.27,0.02,complex,1,jnk1,edge_18626-1_18634-1
21,1.37,0.05,0.06,0.07,complex,1,jnk1,edge_18633-1_18624-1
22,-5.48,0.16,0.12,-0.25,complex,1,jnk1,edge_17124-1_18631-1
23,-1.12,0.05,0.06,0.11,complex,1,jnk1,edge_18627-1_18630-1
24,-14.87,0.08,0.07,-0.18,complex,1,jnk1,edge_18659-1_18634-1
25,-2.17,0.11,0.12,0.09,complex,1,jnk1,edge_18636-1_18624-1
26,1.77,0.1,0.08,-0.24,complex,1,jnk1,edge_18626-1_18628-1
27,-115.69,0.32,0.54,0.43,complex,1,jnk1,edge_18626-1_18660-1
28,11.09,0.22,0.21,0.02,complex,1,jnk1,edge_18626-1_18659-1
29,-10.71,0.09,0.11,0.16,complex,1,jnk1,edge_18639-1_18634-1
30,1.24,0.1,0.15,0.37,complex,1,jnk1,edge_18635-1_18624-1
31,-7.06,0.1,0.09,-0.1,complex,2,jnk1,edge_17124-1_18634-1
32,0.84,0.13,0.11,-0.1,complex,2,jnk1,edge_18626-1_18624-1
33,0.04,0.12,0.16,0.21,complex,2,jnk1,edge_18636-1_18625-1
34,6.17,0.07,0.07,0.03,complex,2,jnk1,edge_18632-1_18624-1
35,2.28,0.08,0.07,-0.09,complex,2,jnk1,edge_18635-1_18625-1
36,4.65,0.07,0.11,0.33,complex,2,jnk1,edge_18626-1_18658-1
37,0.64,0.15,0.19,0.09,complex,2,jnk1,edge_18639-1_18658-1
38,2.38,0.1,0.08,-0.12,complex,2,jnk1,edge_18626-1_18625-1
39,82.63,0.12,0.18,0.47,complex,2,jnk1,edge_18638-1_18658-1
40,-1.08,0.08,0.09,-0.07,complex,2,jnk1,edge_18628-1_18624-1
41,-111.71,0.19,0.32,0.39,complex,2,jnk1,edge_18631-1_18660-1
42,69.05,0.16,0.17,0.02,complex,2,jnk1,edge_18638-1_18634-1
43,-5.93,0.07,0.07,0.0,complex,2,jnk1,edge_18626-1_18632-1
44,-1.04,0.1,0.12,0.22,complex,2,jnk1,edge_18626-1_18630-1
45,4.89,0.11,0.16,0.34,complex,2,jnk1,edge_18631-1_18624-1
46,2.3,0.1,0.1,0.0,complex,2,jnk1,edge_18629-1_18627-1
47,-43.52,0.09,0.12,0.26,complex,2,jnk1,edge_18634-1_18637-1
48,1.15,0.06,0.07,0.18,complex,2,jnk1,edge_18626-1_18627-1
49,-71.79,0.19,0.2,0.11,complex,2,jnk1,edge_18631-1_18652-1
50,45.2,0.15,0.17,0.18,complex,2,jnk1,edge_18637-1_18631-1
51,-6.04,0.17,0.26,0.36,complex,2,jnk1,edge_18626-1_18634-1
52,1.36,0.06,0.07,0.09,complex,2,jnk1,edge_18633-1_18624-1
53,-5.62,0.12,0.11,-0.17,complex,2,jnk1,edge_17124-1_18631-1
54,-1.19,0.06,0.07,0.1,complex,2,jnk1,edge_18627-1_18630-1
55,-14.85,0.08,0.08,-0.19,complex,2,jnk1,edge_18659-1_18634-1
56,-1.67,0.1,0.13,0.22,complex,2,jnk1,edge_18636-1_18624-1
57,2.16,0.11,0.1,-0.11,complex,2,jnk1,edge_18626-1_18628-1
58,-115.54,0.59,0.54,-0.26,complex,2,jnk1,edge_18626-1_18660-1
59,11.71,0.24,0.33,0.2,complex,2,jnk1,edge_18626-1_18659-1
60,-10.56,0.07,0.11,0.24,complex,2,jnk1,edge_18639-1_18634-1
61,1.0,0.1,0.12,0.21,complex,2,jnk1,edge_18635-1_18624-1
62,-7.01,0.09,0.09,0.05,complex,3,jnk1,edge_17124-1_18634-1
63,0.69,0.13,0.1,-0.23,complex,3,jnk1,edge_18626-1_18624-1
64,-1.1,0.13,0.18,0.27,complex,3,jnk1,edge_18636-1_18625-1
65,6.2,0.08,0.08,0.04,complex,3,jnk1,edge_18632-1_18624-1
66,2.33,0.08,0.07,-0.16,complex,3,jnk1,edge_18635-1_18625-1
67,4.94,0.09,0.1,0.13,complex,3,jnk1,edge_18626-1_18658-1
68,0.38,0.2,0.17,-0.09,complex,3,jnk1,edge_18639-1_18658-1
69,2.5,0.11,0.1,-0.12,complex,3,jnk1,edge_18626-1_18625-1
70,82.67,0.1,0.18,0.41,complex,3,jnk1,edge_18638-1_18658-1
71,-0.89,0.09,0.1,0.05,complex,3,jnk1,edge_18628-1_18624-1
73,69.33,0.22,0.17,-0.29,complex,3,jnk1,edge_18638-1_18634-1
74,-5.91,0.07,0.07,-0.02,complex,3,jnk1,edge_18626-1_18632-1
75,-1.34,0.1,0.12,0.23,complex,3,jnk1,edge_18626-1_18630-1
76,5.17,0.13,0.13,0.08,complex,3,jnk1,edge_18631-1_18624-1
77,2.53,0.09,0.1,0.12,complex,3,jnk1,edge_18629-1_18627-1
78,-43.72,0.11,0.13,0.08,complex,3,jnk1,edge_18634-1_18637-1
79,1.08,0.07,0.09,0.23,complex,3,jnk1,edge_18626-1_18627-1
80,-73.14,0.18,0.32,0.47,complex,3,jnk1,edge_18631-1_18652-1
81,45.49,0.18,0.16,-0.02,complex,3,jnk1,edge_18637-1_18631-1
82,-6.77,0.27,0.27,0.1,complex,3,jnk1,edge_18626-1_18634-1
83,1.33,0.06,0.06,0.05,complex,3,jnk1,edge_18633-1_18624-1
84,-5.51,0.12,0.11,-0.12,complex,3,jnk1,edge_17124-1_18631-1
85,-1.2,0.06,0.06,0.06,complex,3,jnk1,edge_18627-1_18630-1
86,-15.02,0.09,0.09,-0.11,complex,3,jnk1,edge_18659-1_18634-1
87,-1.84,0.13,0.13,0.03,complex,3,jnk1,edge_18636-1_18624-1
88,1.97,0.11,0.09,-0.2,complex,3,jnk1,edge_18626-1_18628-1
89,-117.03,0.32,0.45,0.43,complex,3,jnk1,edge_18626-1_18660-1
90,11.85,0.2,0.25,0.17,complex,3,jnk1,edge_18626-1_18659-1
91,-10.77,0.09,0.11,0.07,complex,3,jnk1,edge_18639-1_18634-1
92,1.13,0.08,0.12,0.34,complex,3,jnk1,edge_18635-1_18624-1
93,-7.66,0.1,0.11,0.05,water,1,jnk1,edge_17124-1_18634-1
94,0.16,0.07,0.09,0.12,water,1,jnk1,edge_18626-1_18624-1
95,-0.71,0.08,0.08,-0.02,water,1,jnk1,edge_18636-1_18625-1
96,5.75,0.08,0.08,-0.01,water,1,jnk1,edge_18632-1_18624-1
97,1.85,0.04,0.05,0.2,water,1,jnk1,edge_18635-1_18625-1
98,7.32,0.13,0.14,-0.01,water,1,jnk1,edge_18626-1_18658-1
99,1.41,0.15,0.15,0.1,water,1,jnk1,edge_18639-1_18658-1
100,2.4,0.06,0.07,0.02,water,1,jnk1,edge_18626-1_18625-1
101,82.2,0.11,0.16,0.37,water,1,jnk1,edge_18638-1_18658-1
102,-1.46,0.07,0.08,0.1,water,1,jnk1,edge_18628-1_18624-1
103,-112.51,0.1,0.1,-0.15,water,1,jnk1,edge_18631-1_18660-1
104,69.66,0.13,0.15,0.07,water,1,jnk1,edge_18638-1_18634-1
105,-5.18,0.07,0.06,-0.07,water,1,jnk1,edge_18626-1_18632-1
106,-1.72,0.08,0.08,-0.02,water,1,jnk1,edge_18626-1_18630-1
107,4.03,0.08,0.09,0.13,water,1,jnk1,edge_18631-1_18624-1
108,2.93,0.06,0.07,0.14,water,1,jnk1,edge_18629-1_18627-1
109,-43.46,0.15,0.13,-0.1,water,1,jnk1,edge_18634-1_18637-1
110,0.87,0.05,0.07,0.15,water,1,jnk1,edge_18626-1_18627-1
111,-71.22,0.14,0.17,0.14,water,1,jnk1,edge_18631-1_18652-1
112,43.86,0.14,0.15,0.04,water,1,jnk1,edge_18637-1_18631-1
113,-4.9,0.1,0.09,-0.08,water,1,jnk1,edge_18626-1_18634-1
114,0.61,0.06,0.06,-0.02,water,1,jnk1,edge_18633-1_18624-1
115,-6.65,0.11,0.11,-0.01,water,1,jnk1,edge_17124-1_18631-1
116,-1.54,0.08,0.07,0.03,water,1,jnk1,edge_18627-1_18630-1
117,-14.95,0.09,0.09,0.01,water,1,jnk1,edge_18659-1_18634-1
118,-3.32,0.09,0.12,0.17,water,1,jnk1,edge_18636-1_18624-1
119,1.36,0.07,0.08,0.12,water,1,jnk1,edge_18626-1_18628-1
120,-114.69,0.17,0.19,0.15,water,1,jnk1,edge_18626-1_18660-1
121,12.69,0.13,0.12,-0.05,water,1,jnk1,edge_18626-1_18659-1
122,-11.74,0.08,0.12,0.26,water,1,jnk1,edge_18639-1_18634-1
123,0.13,0.07,0.08,0.1,water,1,jnk1,edge_18635-1_18624-1
124,-7.75,0.09,0.1,0.12,water,2,jnk1,edge_17124-1_18634-1
125,0.17,0.09,0.09,0.02,water,2,jnk1,edge_18626-1_18624-1
126,-0.84,0.07,0.08,0.07,water,2,jnk1,edge_18636-1_18625-1
127,5.83,0.06,0.07,0.16,water,2,jnk1,edge_18632-1_18624-1
128,1.74,0.05,0.05,0.12,water,2,jnk1,edge_18635-1_18625-1
129,7.31,0.17,0.15,-0.08,water,2,jnk1,edge_18626-1_18658-1
130,1.12,0.15,0.15,0.02,water,2,jnk1,edge_18639-1_18658-1
131,2.53,0.05,0.06,0.07,water,2,jnk1,edge_18626-1_18625-1
132,82.29,0.13,0.15,0.16,water,2,jnk1,edge_18638-1_18658-1
133,-1.3,0.07,0.08,0.05,water,2,jnk1,edge_18628-1_18624-1
134,-112.7,0.08,0.09,0.05,water,2,jnk1,edge_18631-1_18660-1
135,69.92,0.12,0.14,0.08,water,2,jnk1,edge_18638-1_18634-1
136,-5.3,0.07,0.06,-0.04,water,2,jnk1,edge_18626-1_18632-1
137,-1.59,0.08,0.09,-0.0,water,2,jnk1,edge_18626-1_18630-1
138,3.92,0.07,0.09,0.12,water,2,jnk1,edge_18631-1_18624-1
139,2.9,0.06,0.07,0.13,water,2,jnk1,edge_18629-1_18627-1
140,-42.97,0.19,0.16,-0.1,water,2,jnk1,edge_18634-1_18637-1
141,0.97,0.05,0.06,0.16,water,2,jnk1,edge_18626-1_18627-1
142,-71.55,0.18,0.21,0.14,water,2,jnk1,edge_18631-1_18652-1
143,43.61,0.16,0.13,-0.11,water,2,jnk1,edge_18637-1_18631-1
144,-4.83,0.09,0.1,0.01,water,2,jnk1,edge_18626-1_18634-1
145,0.66,0.06,0.06,0.07,water,2,jnk1,edge_18633-1_18624-1
146,-6.74,0.11,0.12,-0.08,water,2,jnk1,edge_17124-1_18631-1
147,-1.53,0.06,0.07,0.04,water,2,jnk1,edge_18627-1_18630-1
148,-14.67,0.09,0.09,0.01,water,2,jnk1,edge_18659-1_18634-1
149,-3.48,0.08,0.11,0.17,water,2,jnk1,edge_18636-1_18624-1
150,1.42,0.07,0.08,0.06,water,2,jnk1,edge_18626-1_18628-1
151,-114.62,0.1,0.19,0.55,water,2,jnk1,edge_18626-1_18660-1
152,12.57,0.11,0.12,0.06,water,2,jnk1,edge_18626-1_18659-1
153,-11.67,0.09,0.12,0.2,water,2,jnk1,edge_18639-1_18634-1
154,0.29,0.07,0.08,0.1,water,2,jnk1,edge_18635-1_18624-1
155,-7.71,0.1,0.09,-0.03,water,3,jnk1,edge_17124-1_18634-1
156,0.25,0.09,0.09,0.04,water,3,jnk1,edge_18626-1_18624-1
157,-0.66,0.07,0.08,0.06,water,3,jnk1,edge_18636-1_18625-1
158,5.75,0.06,0.07,0.05,water,3,jnk1,edge_18632-1_18624-1
159,1.79,0.04,0.05,0.21,water,3,jnk1,edge_18635-1_18625-1
160,7.36,0.13,0.13,0.21,water,3,jnk1,edge_18626-1_18658-1
161,1.79,0.16,0.2,0.16,water,3,jnk1,edge_18639-1_18658-1
162,2.34,0.05,0.06,0.16,water,3,jnk1,edge_18626-1_18625-1
163,82.3,0.11,0.15,0.17,water,3,jnk1,edge_18638-1_18658-1
164,-1.33,0.07,0.09,0.12,water,3,jnk1,edge_18628-1_18624-1
165,-112.47,0.16,0.13,-0.05,water,3,jnk1,edge_18631-1_18660-1
166,69.43,0.11,0.15,0.21,water,3,jnk1,edge_18638-1_18634-1
167,-5.17,0.06,0.06,-0.06,water,3,jnk1,edge_18626-1_18632-1
168,-1.79,0.11,0.09,-0.15,water,3,jnk1,edge_18626-1_18630-1
169,3.86,0.1,0.1,0.08,water,3,jnk1,edge_18631-1_18624-1
170,2.82,0.07,0.07,0.09,water,3,jnk1,edge_18629-1_18627-1
171,-43.17,0.17,0.16,-0.06,water,3,jnk1,edge_18634-1_18637-1
172,0.94,0.05,0.07,0.13,water,3,jnk1,edge_18626-1_18627-1
173,-71.6,0.14,0.19,0.3,water,3,jnk1,edge_18631-1_18652-1
174,43.87,0.16,0.16,-0.03,water,3,jnk1,edge_18637-1_18631-1
175,-4.72,0.12,0.1,-0.05,water,3,jnk1,edge_18626-1_18634-1
176,0.6,0.07,0.07,0.03,water,3,jnk1,edge_18633-1_18624-1
177,-6.79,0.1,0.11,0.12,water,3,jnk1,edge_17124-1_18631-1
178,-1.48,0.07,0.08,-0.03,water,3,jnk1,edge_18627-1_18630-1
179,-14.96,0.09,0.09,0.06,water,3,jnk1,edge_18659-1_18634-1
180,-3.31,0.09,0.12,0.16,water,3,jnk1,edge_18636-1_18624-1
181,1.52,0.05,0.08,0.23,water,3,jnk1,edge_18626-1_18628-1
182,-114.36,0.13,0.17,0.17,water,3,jnk1,edge_18626-1_18660-1
183,12.52,0.12,0.11,-0.04,water,3,jnk1,edge_18626-1_18659-1
184,-11.87,0.12,0.13,0.07,water,3,jnk1,edge_18639-1_18634-1
185,0.29,0.07,0.08,0.11,water,3,jnk1,edge_18635-1_18624-1
186,8.67,0.37,0.48,0.23,complex,1,pde2,edge_49220392_49137530
187,7.31,0.12,0.12,-0.0,complex,1,pde2,edge_49932714_49137530
188,42.95,0.39,0.45,0.21,complex,1,pde2,edge_49582468_49137530
189,2.23,0.1,0.09,-0.13,complex,1,pde2,edge_49396360_49137530
190,-5.75,0.3,0.29,-0.13,complex,1,pde2,edge_50181001_49137530
191,-2.38,0.09,0.11,0.21,complex,1,pde2,edge_49585367_49137530
192,-3.48,0.1,0.13,0.29,complex,1,pde2,edge_49220392_49175828
193,-5.77,0.09,0.12,0.18,complex,1,pde2,edge_49220548_49220392
195,15.34,0.15,0.18,0.13,complex,1,pde2,edge_49582468_49932129
196,-10.71,0.2,0.24,-0.04,complex,1,pde2,edge_49396360_49175828
198,-3.38,0.16,0.13,-0.28,complex,1,pde2,edge_49220548_49137374
199,3.45,0.14,0.15,-0.12,complex,1,pde2,edge_49220548_49580115
200,-2.61,0.11,0.11,0.07,complex,1,pde2,edge_49396360_49220548
201,9.76,0.17,0.16,0.13,complex,1,pde2,edge_49932714_49582390
202,4.22,0.09,0.09,-0.01,complex,1,pde2,edge_49396360_49582390
203,-1.29,0.14,0.15,0.04,complex,1,pde2,edge_50181001_49582390
204,63.25,0.26,0.2,-0.26,complex,1,pde2,edge_50107616_49582390
205,48.12,0.13,0.16,0.14,complex,1,pde2,edge_48168913_48271249
206,3.2,0.23,0.23,0.06,complex,1,pde2,edge_49072088_48271249
207,23.5,0.39,0.5,0.19,complex,1,pde2,edge_50107616_48271249
208,1.68,0.12,0.13,0.08,complex,1,pde2,edge_49137374_48271249
209,5.58,0.21,0.25,0.09,complex,1,pde2,edge_49932714_49175789
210,6.76,0.1,0.09,0.02,complex,1,pde2,edge_49932714_49580115
211,-37.71,0.11,0.19,0.37,complex,1,pde2,edge_49932714_49582468
213,30.58,0.12,0.16,0.35,complex,1,pde2,edge_50107616_49585367
214,40.6,0.13,0.25,0.52,complex,1,pde2,edge_48168913_48022468
215,-11.22,0.04,0.04,-0.09,complex,1,pde2,edge_43249674_48022468
216,7.84,0.09,0.11,0.22,complex,1,pde2,edge_48009208_43249674
217,-0.49,0.71,0.65,0.42,complex,1,pde2,edge_43249674_49175789
218,-9.35,0.35,0.48,0.25,complex,1,pde2,edge_49175789_49072088
219,6.37,0.12,0.17,0.22,complex,1,pde2,edge_48009208_49137374
220,8.37,0.16,0.34,0.6,complex,2,pde2,edge_49220392_49137530
222,43.35,0.16,0.16,-0.07,complex,2,pde2,edge_49582468_49137530
223,1.77,0.09,0.12,0.22,complex,2,pde2,edge_49396360_49137530
224,-5.03,0.16,0.34,0.65,complex,2,pde2,edge_50181001_49137530
225,-1.61,0.1,0.14,0.31,complex,2,pde2,edge_49585367_49137530
226,-3.34,0.14,0.13,0.03,complex,2,pde2,edge_49220392_49175828
227,-4.74,0.12,0.1,-0.13,complex,2,pde2,edge_49220548_49220392
228,-25.38,0.29,0.34,0.1,complex,2,pde2,edge_49220548_49932129
229,17.03,0.12,0.19,0.34,complex,2,pde2,edge_49582468_49932129
230,-9.71,0.19,0.21,-0.0,complex,2,pde2,edge_49396360_49175828
231,9.82,0.2,0.31,0.42,complex,2,pde2,edge_49175828_49580115
232,-0.51,0.17,0.14,-0.19,complex,2,pde2,edge_49220548_49137374
234,-1.75,0.14,0.12,-0.06,complex,2,pde2,edge_49396360_49220548
235,9.33,0.14,0.14,0.02,complex,2,pde2,edge_49932714_49582390
236,4.35,0.1,0.09,-0.07,complex,2,pde2,edge_49396360_49582390
237,-4.19,0.19,0.18,-0.01,complex,2,pde2,edge_50181001_49582390
238,62.46,0.18,0.18,0.06,complex,2,pde2,edge_50107616_49582390
239,47.43,0.18,0.19,-0.07,complex,2,pde2,edge_48168913_48271249
