,val,err,aerr,conv,env,repeat,target,edge,failed
197,,,,,complex,1,pde2,edge_49175828_49580115,True
282,,,,,complex,3,pde2,edge_48168913_48022468,True
402,,,,,complex,1,thrombin,edge_3a_1b,True
407,,,,,complex,2,thrombin,edge_1d_5,True
418,,,,,complex,2,thrombin,edge_3a_1b,True
1424,,,,,complex,2,mcl1,edge_38_35,True
1457,,,,,complex,3,mcl1,edge_30_27,True
1458,,,,,complex,3,mcl1,edge_33_27,True
1470,,,,,complex,3,mcl1,edge_49_35,True
1488,,,,,complex,3,mcl1,edge_67_31,True
1792,,,,,complex,2,bace,edge_CAT-13b_CAT-17g,True
1836,,,,,complex,2,bace,edge_CAT-17f_CAT-17e,True
1869,,,,,complex,3,bace,edge_CAT-4o_CAT-4b,True
2242,,,,,complex,3,bace_hunt,edge_18_14,True
2448,,,,,complex,1,bace_p2,edge_35_L_29_L,True
2892,,,,,complex,3,ros1,edge_8794_6674,True
2916,,,,,complex,3,ros1,edge_8550_7454,True
2920,,,,,complex,3,ros1,edge_5602_3040,True
3147,,,,,complex,1,pde10,edge_5687_8161,True
