,val,err,aerr,conv,env,repeat,target,edge,failed
0,,,,,complex,1,jnk1,edge_17124-1_18634-1,True
1,,,,,complex,1,jnk1,edge_18626-1_18624-1,True
2,,,,,complex,1,jnk1,edge_18636-1_18625-1,True
3,,,,,complex,1,jnk1,edge_18632-1_18624-1,True
4,,,,,complex,1,jnk1,edge_18635-1_18625-1,True
5,,,,,complex,1,jnk1,edge_18626-1_18658-1,True
6,,,,,complex,1,jnk1,edge_18639-1_18658-1,True
7,,,,,complex,1,jnk1,edge_18626-1_18625-1,True
8,,,,,complex,1,jnk1,edge_18638-1_18658-1,True
9,,,,,complex,1,jnk1,edge_18628-1_18624-1,True
10,,,,,complex,1,jnk1,edge_18631-1_18660-1,True
11,,,,,complex,1,jnk1,edge_18638-1_18634-1,True
12,,,,,complex,1,jnk1,edge_18626-1_18632-1,True
13,,,,,complex,1,jnk1,edge_18626-1_18630-1,True
14,,,,,complex,1,jnk1,edge_18631-1_18624-1,True
15,,,,,complex,1,jnk1,edge_18629-1_18627-1,True
16,,,,,complex,1,jnk1,edge_18634-1_18637-1,True
17,,,,,complex,1,jnk1,edge_18626-1_18627-1,True
18,,,,,complex,1,jnk1,edge_18631-1_18652-1,True
19,,,,,complex,1,jnk1,edge_18637-1_18631-1,True
20,,,,,complex,1,jnk1,edge_18626-1_18634-1,True
21,,,,,complex,1,jnk1,edge_18633-1_18624-1,True
22,,,,,complex,1,jnk1,edge_17124-1_18631-1,True
23,,,,,complex,1,jnk1,edge_18627-1_18630-1,True
24,,,,,complex,1,jnk1,edge_18659-1_18634-1,True
25,,,,,complex,1,jnk1,edge_18636-1_18624-1,True
26,,,,,complex,1,jnk1,edge_18626-1_18628-1,True
27,,,,,complex,1,jnk1,edge_18626-1_18660-1,True
28,,,,,complex,1,jnk1,edge_18626-1_18659-1,True
29,,,,,complex,1,jnk1,edge_18639-1_18634-1,True
30,,,,,complex,1,jnk1,edge_18635-1_18624-1,True
31,,,,,complex,2,jnk1,edge_17124-1_18634-1,True
32,,,,,complex,2,jnk1,edge_18626-1_18624-1,True
33,,,,,complex,2,jnk1,edge_18636-1_18625-1,True
34,,,,,complex,2,jnk1,edge_18632-1_18624-1,True
35,,,,,complex,2,jnk1,edge_18635-1_18625-1,True
36,,,,,complex,2,jnk1,edge_18626-1_18658-1,True
37,,,,,complex,2,jnk1,edge_18639-1_18658-1,True
38,,,,,complex,2,jnk1,edge_18626-1_18625-1,True
39,,,,,complex,2,jnk1,edge_18638-1_18658-1,True
40,,,,,complex,2,jnk1,edge_18628-1_18624-1,True
41,,,,,complex,2,jnk1,edge_18631-1_18660-1,True
