,val,err,aerr,conv,env,repeat,target,edge
1309,-11.92,0.19,0.17,0.01,complex,1,cmet,edge_CHEMBL3402741_400_CHEMBL3402763_90
1310,-0.37,0.45,0.54,0.14,complex,1,cmet,edge_CHEMBL3402741_400_CHEMBL3402764_90
1312,-8.08,0.19,0.19,0.11,complex,1,cmet,edge_CHEMBL3402742_23_CHEMBL3402763_90
1313,2.03,0.18,0.2,-0.01,complex,1,cmet,edge_CHEMBL3402743_42_CHEMBL3402742_23
1318,-4.59,0.21,0.24,0.18,complex,1,cmet,edge_CHEMBL3402743_42_CHEMBL3402763_90
1319,8.03,0.09,0.09,0.06,complex,1,cmet,edge_CHEMBL3402743_42_CHEMBL3402764_90
1320,-3.51,0.11,0.11,0.03,complex,1,cmet,edge_CHEMBL3402744_300_4_CHEMBL3402745_200_5
1321,48.2,0.28,0.26,0.04,complex,1,cmet,edge_CHEMBL3402744_300_4_CHEMBL3402752_30000_12
1323,61.23,0.36,0.82,0.74,complex,1,cmet,edge_CHEMBL3402744_300_4_CHEMBL3402757_6.5
1324,39.45,0.2,0.2,-0.0,complex,1,cmet,edge_CHEMBL3402745_200_5_CHEMBL3402742_23
1325,37.38,0.16,0.2,0.02,complex,1,cmet,edge_CHEMBL3402745_200_5_CHEMBL3402743_42
1326,52.17,0.22,0.21,-0.07,complex,1,cmet,edge_CHEMBL3402745_200_5_CHEMBL3402748_5300_8
1327,51.03,0.29,0.51,0.61,complex,1,cmet,edge_CHEMBL3402745_200_5_CHEMBL3402752_30000_12
1329,-47.33,0.16,0.15,-0.14,complex,1,cmet,edge_CHEMBL3402747_3400_7_CHEMBL3402744_300_4
1330,13.27,0.15,0.22,0.36,complex,1,cmet,edge_CHEMBL3402747_3400_7_CHEMBL3402749_500_9
1331,1.56,0.05,0.05,0.08,complex,1,cmet,edge_CHEMBL3402747_3400_7_CHEMBL3402751_2100_11
1332,-0.25,0.06,0.07,0.14,complex,1,cmet,edge_CHEMBL3402747_3400_7_CHEMBL3402752_30000_12
1333,32.51,0.07,0.1,0.18,complex,1,cmet,edge_CHEMBL3402747_3400_7_CHEMBL3402755_4200_15
1335,-10.6,0.1,0.11,0.03,complex,1,cmet,edge_CHEMBL3402749_500_9_CHEMBL3402748_5300_8
1336,-18.2,0.14,0.17,0.28,complex,1,cmet,edge_CHEMBL3402750_400_10_CHEMBL3402748_5300_8
1337,-5.42,0.07,0.06,-0.1,complex,1,cmet,edge_CHEMBL3402750_400_10_CHEMBL3402749_500_9
1338,-16.16,0.23,0.33,0.42,complex,1,cmet,edge_CHEMBL3402750_400_10_CHEMBL3402751_2100_11
1339,1.5,0.06,0.06,0.03,complex,1,cmet,edge_CHEMBL3402752_30000_12_CHEMBL3402751_2100_11
1340,-60.88,0.16,0.14,-0.11,complex,1,cmet,edge_CHEMBL3402752_30000_12_CHEMBL3402754_40_14
1341,-5.47,0.16,0.14,-0.12,complex,1,cmet,edge_CHEMBL3402753_200_13_CHEMBL3402747_3400_7
1342,10.98,0.06,0.07,0.1,complex,1,cmet,edge_CHEMBL3402753_200_13_CHEMBL3402750_400_10
1343,26.76,0.04,0.04,-0.06,complex,1,cmet,edge_CHEMBL3402753_200_13_CHEMBL3402755_4200_15
