name,ligand0,ligand1,exp_dg[kcal/mol],exp_dg_error[kcal/mol],pred_dg[kcal/mol],pred_dg_error[kcal/mol]
edge_155_84,lig_155,lig_84,2.95,0.0,1.56,0.21
edge_84_15,lig_84,lig_15,-3.4899999999999993,0.0,-3.51,0.47
edge_156_164,lig_156,lig_164,2.990000000000001,0.0,4.46,0.19
edge_156_165,lig_156,lig_165,0.5100000000000016,0.0,2.24,0.41
edge_156_167,lig_156,lig_167,-0.9399999999999995,0.0,1.02,0.25
edge_156_42,lig_156,lig_42,0.8000000000000007,0.0,0.27,0.36
edge_164_124,lig_164,lig_124,-3.38,0.0,-4.73,0.39
edge_164_163,lig_164,lig_163,-4.2700000000000005,0.0,-2.27,0.77
edge_164_25,lig_164,lig_25,-3.54,0.0,-3.61,0.23
edge_165_163,lig_165,lig_163,-1.790000000000001,0.0,-0.68,0.47
edge_165_252,lig_165,lig_252,-0.4800000000000004,0.0,-1.19,0.45
edge_165_336,lig_165,lig_336,-0.5900000000000016,0.0,-1.69,0.30
edge_165_42,lig_165,lig_42,0.28999999999999915,0.0,-1.83,1.20
edge_167_155,lig_167,lig_155,0.16999999999999993,0.0,-0.94,0.28
edge_167_165,lig_167,lig_165,1.450000000000001,0.0,0.81,0.19
edge_167_50,lig_167,lig_50,0.9800000000000004,0.0,0.13,0.12
edge_42_164,lig_42,lig_164,2.1900000000000004,0.0,1.54,0.40
edge_15_25,lig_15,lig_25,0.7599999999999998,0.0,0.74,0.20
edge_252_124,lig_252,lig_124,-0.41999999999999993,0.0,-1.27,0.29
edge_252_155,lig_252,lig_155,-0.8000000000000007,0.0,-0.59,0.37
edge_252_231,lig_252,lig_231,-0.3200000000000003,0.0,-0.46,0.22
edge_252_290,lig_252,lig_290,-0.8600000000000012,0.0,-3.72,0.73
edge_252_336,lig_252,lig_336,-0.11000000000000121,0.0,-0.53,0.18
edge_1_15,lig_1,lig_15,0.28000000000000114,0.0,-0.59,0.42
edge_1_155,lig_1,lig_155,0.8200000000000003,0.0,0.41,0.14
edge_1_254,lig_1,lig_254,1.7800000000000011,0.0,0.63,0.57
edge_1_256,lig_1,lig_256,0.6500000000000004,0.0,0.58,0.17
