name,smiles,exp_dg[kcal/mol],exp_dg_error[kcal/mol],pred_dg[kcal/mol],pred_dg_error[kcal/mol]
155,[H][O][C@@]1([H])[C]2=[C]([C]([O][C]3=[C]([H])[C]([F])=[C]([H])[C]([C]#[N])=[C]3[H])=[C]([H])[C]([H])=[C]2[S](=[O])(=[O])[C]([H])([F])[F])[C]([H])([H])[C]1([H])[H],-10.57,0.0,-10.45,0.13
84,[H][C]1=[C]([F])[C]([H])=[C]([O][C]2=[C]([H])[C]([H])=[C]([S](=[O])(=[O])[C]([H])([F])[F])[C]3=[C]2[C](=[O])[O][C]3([H])[H])[C]([H])=[C]1[Cl],-7.62,0.0,-6.98,0.15
156,[H][O][C@@]1([H])[C]2=[C]([C]([O][C]3=[C]([H])[C]([H])=[C]([H])[C]([C]#[N])=[C]3[H])=[C]([H])[C]([H])=[C]2[S](=[O])(=[O])[C]([H])([F])[F])[C]([H])([H])[C]1([H])[H],-9.8,0.0,-11.00,0.15
164,[H][C]1=[C]([F])[C]([H])=[C]([O][C]2=[C]([H])[C]([H])=[C]([S](=[O])(=[O])[C]([H])([H])[H])[C]3=[C]2[C]([H])([H])[C]([F])([F])[C@]3([H])[N]([H])[H])[C]([H])=[C]1[C]#[N],-6.81,0.0,-6.89,0.14
165,[H][C]1=[C]([F])[C]([H])=[C]([O][C]2=[C]([H])[C]([H])=[C]([S](=[O])(=[O])[C]([H])([H])[H])[C]3=[C]2[C]([H])([H])[C]([F])([F])[C@@]3([H])[N]([H])[H])[C]([H])=[C]1[C]#[N],-9.29,0.0,-9.53,0.11
167,[H][O][C@@]1([H])[C]2=[C]([C]([O][C]3=[C]([H])[C]([Cl])=[C]([H])[C]([C]#[N])=[C]3[H])=[C]([H])[C]([H])=[C]2[S](=[O])(=[O])[C]([H])([H])[F])[C]([H])([H])[C]1([F])[F],-10.74,0.0,-9.25,0.13
42,[H][O][C]([H])([H])[C]1=[C]([Cl])[C]([O][C]2=[C]([H])[C]([F])=[C]([H])[C]([C]#[N])=[C]2[H])=[C]([H])[C]([H])=[C]1[S](=[O])(=[O])[C]([H])([F])[F],-9.0,0.0,-9.48,0.14
15,[H][O][C@@]1([H])[C]2=[C]([C]([O][C]3=[C]([H])[C]([F])=[C]([H])[C]([C]#[N])=[C]3[H])=[C]([H])[C]([H])=[C]2[S](=[O])(=[O])[C]([H])([F])[F])[C]([H])([H])[C]1([F])[F],-11.11,0.0,-10.96,0.12
25,[H][O][C@@]1([H])[C]2=[C]([C]([O][C]3=[C]([H])[C]([Cl])=[C]([H])[N]=[C]3[H])=[C]([H])[C]([H])=[C]2[S](=[O])(=[O])[C]([H])([F])[F])[C]([H])([H])[C]1([F])[F],-10.35,0.0,-11.25,0.17
124,[H][C]1=[C]([F])[C]([H])=[C]([O][C]2=[C]([H])[C]([H])=[C]([S](=[O])(=[O])[C]([F])([F])[F])[C]([H])=[C]2[C]([H])([F])[F])[C]([H])=[C]1[Cl],-10.19,0.0,-10.69,0.25
163,[H][O][C@@]1([H])[C]2=[C]([C]([O][C]3=[C]([H])[C]([F])=[C]([H])[C]([C]#[N])=[C]3[H])=[C]([H])[C]([H])=[C]2[S](=[O])(=[O])[C]([H])([H])[H])[C]([H])([H])[C]1([F])[F],-11.08,0.0,-9.37,0.13
252,[H][O][C@@]1([H])[C]2=[C]([C]([O][C]3=[C]([H])[C]([F])=[C]([H])[C]([C]#[N])=[C]3[H])=[C]([H])[C]([H])=[C]2[S](=[O])(=[O])[N]([H])[H])[C]([H])([H])[C]1([F])[F],-9.77,0.0,-10.17,0.12
336,[H][O][C@@]1([H])[C]2=[C]([C]([O][C]3=[C]([H])[C]([F])=[C]([H])[C]([C]#[N])=[C]3[H])=[C]([H])[C]([H])=[C]2[S](=[O])(=[O])[N]([H])[H])[C@@]([H])([F])[C@@]1([H])[F],-9.88,0.0,-10.71,0.16
50,[H][C]1=[C]([F])[C]([H])=[C]([O][C]2=[C]([H])[C]([H])=[C]([S](=[O])(=[O])[C]([H])([H])[H])[C]([C]([H])([H])[H])=[C]2[C]#[N])[C]([H])=[C]1[Cl],-9.76,0.0,-9.12,0.17
1,[H][O][C@@]1([H])[C]2=[C]([C]([O][C]3=[C]([H])[C]([F])=[C]([H])[C]([Cl])=[C]3[H])=[C]([H])[C]([H])=[C]2[S](=[O])(=[O])[C]([H])([F])[F])[C]([H])([H])[C]1([H])[H],-11.39,0.0,-11.17,0.13
254,[H][O][C@@]1([H])[C]2=[C]([C]([O][C]3=[C]([H])[C]([F])=[C]([H])[C]([C]#[N])=[C]3[H])=[C]([H])[C]([H])=[C]2[S](=[O])(=[O])[N]([H])[C]([H])([H])[H])[C]([H])([H])[C]1([F])[F],-9.61,0.0,-9.72,0.17
256,[H][O][C@@]1([H])[C]2=[C]([C]([O][C]3=[C]([H])[C]([F])=[C]([H])[C]([F])=[C]3[H])=[C]([H])[C]([H])=[C]2[S](=[O])(=[O])[N]([H])[H])[C]([H])([H])[C]1([F])[F],-10.74,0.0,-9.77,0.18
7a,[H][O][C@@]1([H])[C]2=[C]([C]([O][C]3=[C]([H])[C]([F])=[C]([H])[C]([Cl])=[C]3[H])=[C]([H])[C]([H])=[C]2[S](=[O])(=[O])[C]([H])([F])[F])[C@@]([H])([C]([H])([H])[H])[C]1([H])[H],-10.06,0.0,-9.42,0.20
206,[H][O][C@@]1([H])[C]2=[C]([C]([O][C]3=[C]([H])[C]([F])=[C]([H])[C]([C]#[N])=[C]3[H])=[C]([H])[C]([H])=[C]2[S](=[O])(=[O])[C]([H])([H])[C]([H])([H])[H])[C]([H])([H])[C]1([F])[F],-10.19,0.0,-7.13,0.19
23,[H][O][C@@]1([H])[C]2=[C]([C]([O][C]3=[C]([H])[C]([F])=[C]([H])[C]([F])=[C]3[H])=[C]([H])[C]([H])=[C]2[S](=[O])(=[O])[C]([H])([F])[F])[C]([H])([H])[C@@]1([H])[O][H],-7.11,0.0,-10.28,0.22
57,[H][O][C@@]1([H])[C]2=[C]([C]([O][C]3=[C]([H])[C]([F])=[C]([H])[C]([C]#[N])=[C]3[H])=[C]([H])[C]([H])=[C]2[S](=[O])(=[O])[C]([F])([F])[F])[C]([H])([H])[C]1([H])[H],-10.74,0.0,-12.36,0.23
