,ligand,target,DG_Exp.,dDG_Exp.,DG_OpenFF-1.0,DG_OpenFF-1.0_converged,DG_OpenFF-1.2,DG_OpenFF-1.2_converged,DG_OpenFF-2.0,DG_OpenFF-2.0_converged,DG_OPLS3e,DG_GAFF2,DG_cGenFF,DG_Consensus_OpenFF_GAFF2_cGenFF,DG_Consensus_OpenFF_GAFF2,DG_Consensus_all,dDG_OpenFF-1.0,dDG_OpenFF-1.0_converged,dDG_OpenFF-1.2,dDG_OpenFF-1.2_converged,dDG_OpenFF-2.0,dDG_OpenFF-2.0_converged,dDG_OPLS3e,dDG_GAFF2,dDG_cGenFF,dDG_Consensus_OpenFF_GAFF2_cGenFF,dDG_Consensus_OpenFF_GAFF2,dDG_Consensus_all
jnk1_lig_17124-1,17124-1,jnk1,-9.76,0.29,-10.49884912670221,-10.410239683531174,,,-11.647483516366709,-11.641638675919552,-11.067889427321102,-10.639637080098215,-10.968623834559327,-11.133093624091194,-11.355552370364862,-11.001217437894677,0.0982115773586658,0.10576773666581589,,,0.1265790080603501,0.1276625835315328,0.052150236239632004,0.19305619946794594,0.17454272567012014,0.2456330859928947,0.2993169552296302,0.10359072786664134
jnk1_lig_18631-1,18631-1,jnk1,-9.5,0.23,-9.208651907689307,-9.114652128921762,,,-9.48052290932556,-9.474985698973416,-9.49662154808704,-9.741386661650106,-10.230601938595537,-10.36867542877647,-10.164122074783872,-9.72565592737071,0.07688082290581702,0.08689982194012366,,,0.09487558523616015,0.0961553619970458,0.049213677239732107,0.4023017738994539,0.16822980750859878,0.3251553219515444,0.32019366439799085,0.1278626887023879
jnk1_lig_18634-1,18634-1,jnk1,-10.09,0.04,-10.098436285033486,-10.020988937061377,,,-11.04873315692776,-11.048162994310953,-10.505357989221533,-10.119356101797068,-10.635935020421142,-10.603754054289947,-10.76139876729045,-10.510889838426413,0.08824352607215726,0.09494719543209482,,,0.1264960731856705,0.12728205807130022,0.044414511839654267,0.13249878542245677,0.1857688244211359,0.22378720386364914,0.26134383661331634,0.09351647243926765
jnk1_lig_18626-1,18626-1,jnk1,-8.95,0.14,-8.185239298423731,-8.133063090603523,,,-8.07711178817646,-8.077297974394115,-8.946005950376012,-8.375651958711138,-8.7368109011643,-8.441835317255855,-8.0398395685113,-8.573306254040777,0.05446431485050054,0.05848769663269795,,,0.0802430314894871,0.08104111871526964,0.032253650452612824,0.10777427885144474,0.14101166055036618,0.16519070666744734,0.14660911144883465,0.06649945861424136
jnk1_lig_18624-1,18624-1,jnk1,-8.57,0.15,-7.995236018469032,-7.9366878442981434,,,-7.067733761901347,-7.068933171372836,-7.851307766659343,-7.373973676190845,-8.61090139753606,-7.5655062066572105,-7.07276593179389,-7.755783035660456,0.05571879938258598,0.06080324766350224,,,0.0789395048945302,0.079946811505458,0.03482000309706707,0.11690021319385901,0.14037699168802079,0.17873572020214654,0.15140593021297674,0.06856055128316517
jnk1_lig_18625-1,18625-1,jnk1,-8.18,0.16,-8.286985655398777,-8.231793396789993,,,-7.066799260949365,-7.067385489493098,-7.501772477863895,-7.495909290103201,-8.550740713024808,-7.661673645431545,-7.308732752231836,-7.652167655106119,0.08919539955517802,0.091342267926048,,,0.12836564505145273,0.12847681786278478,0.04185784961317772,0.1324345416065053,0.21090346717682298,0.21493368017161232,0.167456181286284,0.08845679217386913
jnk1_lig_18627-1,18627-1,jnk1,-8.56,0.17,-8.034033197010002,-7.980826029066695,,,-7.88572879140101,-7.887150284534292,-8.478077454056352,-7.98684522341872,-8.558331725198613,-8.079504366714207,-7.633034818787767,-8.27930297206921,0.06575577269045826,0.06986070402559509,,,0.12100228095703573,0.120883764420079,0.05413243116771461,0.12145051407974905,0.1559925702449883,0.1862537661814769,0.15595270848631257,0.0758684895423594
jnk1_lig_18628-1,18628-1,jnk1,-8.78,0.18,-8.107540581411316,-8.059029554839826,,,-7.802711478859769,-7.803645511667875,-7.767315640464768,-7.640876499846745,-8.975455376838664,-7.775704155754989,-7.366359925096527,-8.067898344299051,0.07972222175553036,0.08347492286049267,,,0.1401843691511849,0.14248067128707928,0.041242273751626354,0.12096795149782331,0.14674089411267607,0.17612767611926985,0.1626229426341563,0.07770175255650126
jnk1_lig_18630-1,18630-1,jnk1,-9.23,0.01,-7.667954303437912,-7.615300645917938,,,-7.673045053196717,-7.6738408807798555,-8.193380405764623,-7.772195076215304,-8.906887260450274,-8.075459088357677,-7.390050170922382,-8.174568068775963,0.07723992682585362,0.08012146777738355,,,0.1166856138685466,0.11666517044182148,0.052874747572272326,0.12284027197398859,0.16599667087262288,0.2444695966196887,0.15581314216921727,0.07611704413869087
jnk1_lig_18632-1,18632-1,jnk1,-9.17,0.27,-8.63442352985358,-8.584385438181707,,,-8.161343454306836,-8.163541394872427,-8.761753461858786,-8.320198457281363,-8.830119791903803,-8.518696122538383,-8.130220287429818,-8.553287571201968,0.062330113364355545,0.06611251498512011,,,0.09004616352394909,0.0905292157698218,0.03950835488605343,0.14078137965584123,0.15284890432888296,0.17293466284758838,0.1605004972777104,0.07379945336639682
jnk1_lig_18658-1,18658-1,jnk1,-9.79,0.09,-10.553537726197446,-10.493608344084677,,,-11.29641475688446,-11.29666853998658,-9.849672239882327,-10.459630389039466,-10.31386864907347,-10.77011538744551,-11.215003481547413,-10.433901274486933,0.09947423379919886,0.10292728943330871,,,0.24080478923197182,0.2401211897805708,0.11031428449990842,0.2160004779858814,0.20796846034131414,0.38682118274107385,0.26071799477692087,0.1195001630963053
jnk1_lig_18659-1,18659-1,jnk1,-9.55,0.07,-9.97562438715366,-9.89672926514336,,,-10.603050726074322,-10.60158004843968,-9.80215223510311,-9.735299102041562,-10.021418947804488,-10.070529008978856,-10.20670654636519,-9.977860644024606,0.11504700913486468,0.12129784502033836,,,0.17372815006656186,0.1739784418870767,0.1454120304518407,0.24628449456734947,0.2625566142268079,0.23231177805687447,0.2711464542226181,0.12276197965947279
jnk1_lig_18660-1,18660-1,jnk1,-8.78,0.07,-8.33995694454265,-9.663063090603522,,,-9.715457252522011,-9.725894165348857,-9.3925605791277,-11.188526026483991,-7.035991384332573,-8.977537700384593,-9.982060611677761,-9.292403602846077,0.17999610687366702,0.5777111385176128,,,0.15703734677458123,0.15609286357895688,0.1573179241704007,0.4714674971047435,0.355536627321424,0.9532639118937937,0.4243585784725107,0.17685191400618264
jnk1_lig_18629-1,18629-1,jnk1,-8.75,0.08,-7.5573665303433355,-7.504159362400029,,,-7.609062124734343,-7.610483617867626,-8.282092750423462,-8.01552591175524,-8.699345109519838,-8.001856183157802,-7.444860822611853,-8.20356364765876,0.12032705019543993,0.12083321604667416,,,0.16284236290468912,0.16547322376317886,0.06521820891295743,0.14904129710062725,0.1660237741034478,0.2623874263065965,0.3073607594917183,0.08514286287741864
jnk1_lig_18652-1,18652-1,jnk1,-10.78,0.09,-10.248651907689313,-10.154652128921764,,,-10.913856242658888,-10.90831903230675,-10.799202810037324,-12.39435033277822,-10.787485303796235,-11.450370776131466,-12.631550373063025,-11.212096335273843,0.40875870374228346,0.41223957294254304,,,0.39316245333348604,0.40276905194481355,0.1322605808597473,1.0739466740641306,1.2098341895687195,1.6021591415281957,1.499955265883687,0.4219849173415628
jnk1_lig_18633-1,18633-1,jnk1,-9.26,0.2,-8.725236018469035,-8.666687844298144,,,-8.011067095234683,-8.01226650470617,-8.577885204517854,-8.15313237599964,-8.665872716847716,-8.14788989053229,-7.947536486287192,-8.38179323323853,0.0712486528409282,0.0746355211584992,,,0.10106880851462013,0.10030825103318296,0.04717443133900735,0.14401776044801573,0.29874882990698304,0.3332642193478571,0.1621403694231056,0.09900311204363078
jnk1_lig_18637-1,18637-1,jnk1,-10.23,0.27,-10.709282073978565,-10.624661112665342,,,-11.717554880096257,-11.717003543976272,-11.076635104348618,-10.679351433871084,-8.718314172841312,-11.041853654333977,-11.45310179019723,-10.676753925189546,0.10121215753860309,0.10747629737450727,,,0.2537279698941737,0.25646424324827033,0.057994424509766586,0.3815382287411829,0.21771521661854404,0.42951809440756183,0.4063366643645016,0.17801395325314262
jnk1_lig_18635-1,18635-1,jnk1,-7.35,0.09,-8.860687813033877,-8.804926664743535,,,-7.561749447550427,-7.562058026009034,-7.693455970809183,-7.761845905104553,-8.664761430986678,-7.890830431393111,-7.399177422194657,-7.927411352604155,0.09194203364416934,0.09380955833375466,,,0.12874798533110385,0.12915457357866575,0.07748408650104245,0.14789023968141152,0.19798469201330268,0.21417200659104993,0.1662418415134825,0.08744944464131596
jnk1_lig_18636-1,18636-1,jnk1,-7.58,0.32,-9.274149354467818,-9.217156037286307,,,-6.7097276400056485,-6.710193785587854,-7.413799976350408,-7.49777425015555,-7.041708439019806,-6.934802687791572,-6.987313909238407,-7.190035491640519,0.17718514517648995,0.1789436265161995,,,0.15065822781667645,0.15075745121294964,0.054712381901892704,0.14005880240190777,0.18797223945824074,0.37586473579898594,0.24466450190101632,0.095487597736409
jnk1_lig_18638-1,18638-1,jnk1,-10.19,0.08,-10.770249562644526,-10.695950239795318,,,-11.29929556455297,-11.297679617694873,-10.571549717266418,-10.822210194427194,-10.2044432103445,-10.700770413571089,-11.124181236681748,-10.653167775488667,0.12745046587732822,0.13125638755314883,,,0.22234992061068895,0.22132084915107728,0.08380349251138655,0.19812843128190222,0.21189206106134797,0.3486556678341605,0.4317559957220473,0.11461898297184335
jnk1_lig_18639-1,18639-1,jnk1,-9.83,0.12,-11.147907778050428,-11.071439160845864,,,-11.531551098274447,-11.531271041757883,-10.851511290460149,-10.706324053030784,-9.722382675740867,-10.669541856412245,-11.26643065292281,-10.636935612703004,0.10834450988674953,0.11329127494572468,,,0.14423166343165883,0.14393948945650664,0.09097376349181568,0.15510679750821538,0.20105504610002115,0.42319695411235797,0.2708355544173262,0.1009356803512433
pde2_lig_43249674,43249674,pde2,-11.76,0.21,-9.241340731644673,-9.850202275588831,,,-9.956323913246951,,-9.854969641186473,-10.474672842620897,-10.41005824936293,-10.649944900509283,-10.85211116296602,-10.262683044240063,0.2570876291370401,0.4846616935430835,,,0.3270304089297373,,0.14977400325731668,0.3135856075973984,0.22180707899839644,0.3477290798617908,0.36566092582255155,0.15249010453829095
pde2_lig_48022468,48022468,pde2,-11.96,0.26,-10.075348561690245,-10.683810504746095,,,-10.46099941204066,,-10.184001883727293,-10.959328165585452,-10.973051140241742,-11.315224492301759,-11.459497603609655,-10.731282566437796,0.24808750937405466,0.4852308881251838,,,0.30814788187185993,,0.15097629066949955,0.3157246829693072,0.23692632991104168,0.3507387068167523,0.3835441371775393,0.15428759095599168
pde2_lig_49175789,49175789,pde2,-11.12,0.3,-10.635880543652227,,,,-11.077661857098647,,-12.229801465709992,-12.409900199531995,-13.717612932573495,-12.311494375531844,-11.360484490970547,-12.283880859724256,0.485857196557427,,,,0.4973319969169578,,0.0964729976327554,0.3224486774656231,0.21390545478815304,0.4724811409716094,0.2542317781478695,0.1685330313895587
pde2_lig_48009208,48009208,pde2,-11.01,0.27,-8.773789549528875,-9.347251410631532,,,-9.985458277065629,,-9.68287661452209,-9.942922207149921,-10.158465873240312,-10.266342278324446,-10.622815338971211,-10.031780201783343,0.285966576766715,0.47559253299722615,,,0.33846961981247453,,0.16231571321977653,0.3169712236826524,0.23612667746167534,0.3513048860422114,0.34793863075792764,0.15674293484194635
pde2_lig_49137374,49137374,pde2,-11.28,0.41,-9.250099291122472,-9.811384650146085,,,-9.934164183204317,,-9.76670537267318,-10.285737797910325,-10.920107632284742,-10.216623597743325,-10.182839352915419,-10.371242276055973,0.2895424414837066,0.46919547793938043,,,0.3730723065062704,,0.13384672604200085,0.37000339735098564,0.25720166703844904,0.346326759320764,0.3460114883234184,0.16724580394357388
pde2_lig_48168913,48168913,pde2,-10.42,0.32,-9.10667340348456,-9.720282407627831,,,-9.584444553508847,,-10.156827846247282,-10.132158990400091,-9.179608204923344,-9.776874942783152,-10.160476537410696,-9.884111488431362,0.22575002965004407,0.48593528873998043,,,0.28579693329241496,,0.1532622306270921,0.34651076395045266,0.24792487195254984,0.3658508673356445,0.4038285657991199,0.15392478278164215
pde2_lig_48271249,48271249,pde2,-10.87,0.11,-8.892274656651745,-9.431626427353581,,,-9.010430758443153,,-9.371007646258638,-10.519784021337859,-9.026039169772273,-8.665288701329061,-8.510053193728902,-9.44507403893056,0.26404035886768146,0.47997668697665374,,,0.3894662456587197,,0.15423064295476516,0.38049009603300443,0.30616081011533713,0.37673903229336186,0.4408222949403986,0.17776628922426163
pde2_lig_49585367,49585367,pde2,-9.61,0.26,-10.96400104266588,-10.499960615932821,,,-10.359491896823114,,-9.538350492217573,-9.595370951700128,-8.783957069878293,-9.596049870518433,-9.80703867195974,-9.61743508317965,0.2217450006432391,0.3964260850026422,,,0.22270835738820494,,0.10776150536572092,0.19841337733231504,0.20716451855790713,0.256728042998895,0.3667001156654181,0.10797121836626469
pde2_lig_49072088,49072088,pde2,-8.81,0.18,-10.663820779696,-11.048293094020263,,,-9.20095125349547,,-11.372961935303387,-11.695721786480348,-10.675274314202927,-10.327659219419383,-9.62675677290369,-10.395417045177933,0.432214928602955,0.643253042065094,,,0.5154374502808661,,0.1987173478272986,0.537172221018891,0.39491799115086,0.4353368875997633,0.4964449094215069,0.24282896853793617
pde2_lig_49175828,49175828,pde2,-12.01,0.49,-12.341119652866471,-12.887370323231696,,,-10.470457164083298,,-12.305566238715015,-11.573086000912118,-13.064940572477944,-11.884825472644755,-11.096536032078644,-11.798909753115314,0.31382874302668023,0.5748549403572778,,,0.2883993981351954,,0.14106729757110612,0.2307371828010464,0.2642420974135299,0.3441688697440639,0.2719185239499298,0.14628363822419863
pde2_lig_49580115,49580115,pde2,-10.12,0.27,-10.460892270466502,-9.93448579017458,,,-10.584911832372457,,-9.706089287424387,-10.213919596577286,-9.648280453149296,-9.612089277952926,-10.174364194209234,-10.00646282365751,0.24551825160764315,0.37330938635255606,,,0.28828278619724057,,0.11986496898295479,0.26322620687641224,0.31538149524837045,0.2910535212980186,0.23276988757935585,0.14765105433827677
pde2_lig_49220392,49220392,pde2,-11.27,0.29,-11.618276895295876,-11.486969405107342,,,-10.298658990803407,,-11.258367427811505,-10.819755303682715,-12.622584749333551,-11.361232397168406,-10.22679747693015,-11.208482871167803,0.3109228602824061,0.38278651110334616,,,0.35185778094476955,,0.12079487037865956,0.21971640938661724,0.2430865452919274,0.30937933688355657,0.2750449035533927,0.14255394672857305
pde2_lig_49137530,49137530,pde2,-11.17,0.41,-11.556554821742559,-11.238143341503914,,,-11.909375578735974,,-11.118802001528914,-10.496505397762325,-10.665608201381808,-10.947007389381024,-11.166098493445999,-11.07341160716515,0.1985601567733808,0.29138989449956754,,,0.2043040984835224,,0.08060782227690326,0.17415064279218403,0.14502164366526316,0.21362855547688345,0.23771903479947556,0.09452964403309266
