,target,edge,ligandA,ligandB,unit,DDG_Exp.,dDDG_Exp.,DDG_OpenFF-1.0,dDDG_OpenFF-1.0,DDG_OpenFF-1.0_converged,dDDG_OpenFF-1.0_converged,DDG_OpenFF-1.2,dDDG_OpenFF-1.2,DDG_OpenFF-1.2_converged,dDDG_OpenFF-1.2_converged,DDG_OpenFF-2.0,dDDG_OpenFF-2.0,DDG_OpenFF-2.0_converged,dDDG_OpenFF-2.0_converged,DDG_OPLS3e,dDDG_OPLS3e,DDG_GAFF2,dDDG_GAFF2,DDG_cGenFF,dDDG_cGenFF,DDG_Consensus_OpenFF_GAFF2_cGenFF,dDDG_Consensus_OpenFF_GAFF2_cGenFF,DDG_Consensus_OpenFF_GAFF2,dDDG_Consensus_OpenFF_GAFF2,DDG_Consensus_all,dDDG_Consensus_all,error_OpenFF-1.0,abserror_OpenFF-1.0,error_OpenFF-1.0_converged,abserror_OpenFF-1.0_converged,error_OpenFF-1.2,abserror_OpenFF-1.2,error_OpenFF-1.2_converged,abserror_OpenFF-1.2_converged,error_OpenFF-2.0,abserror_OpenFF-2.0,error_OpenFF-2.0_converged,abserror_OpenFF-2.0_converged,error_OPLS3e,abserror_OPLS3e,error_GAFF2,abserror_GAFF2,error_cGenFF,abserror_cGenFF,error_Consensus_OpenFF_GAFF2_cGenFF,abserror_Consensus_OpenFF_GAFF2_cGenFF,error_Consensus_OpenFF_GAFF2,abserror_Consensus_OpenFF_GAFF2,error_Consensus_all,abserror_Consensus_all
jnk1_edge_17124-1_18631-1,jnk1,edge_17124-1_18631-1,17124-1,18631-1,kilocalories / mole,0.26,0.37,1.1900000000000002,0.0960863355854202,1.1900000000000002,0.09647035660537207,,,,,2.3033333333333332,0.17135934030809205,2.3033333333333332,0.17482148613810175,1.5176864244741872,0.06931166347992351,1.3312619502868068,0.7313575525812619,0.7767686424474187,0.10038240917782026,0.9061121733588279,0.5904008454030161,1.0448757170172083,0.9803091134380195,1.4822625876354365,0.19025125295171763,0.9300000000000002,0.9300000000000002,0.9300000000000002,0.9300000000000002,,,,,2.043333333333333,2.043333333333333,2.043333333333333,2.043333333333333,1.2576864244741872,1.2576864244741872,1.0712619502868068,1.0712619502868068,0.5167686424474187,0.5167686424474187,0.6461121733588279,0.6461121733588279,0.7848757170172083,0.7848757170172083,1.2222625876354365,1.2222625876354365
jnk1_edge_17124-1_18634-1,jnk1,edge_17124-1_18634-1,17124-1,18634-1,kilocalories / mole,-0.33,0.29,0.5800000000000004,0.12863863897721867,0.5800000000000004,0.12966385864225702,,,,,0.5399999999999995,0.11247326025089939,0.5399999999999995,0.10935028542576754,0.5831739961759081,0.04302103250478011,0.4995219885277246,0.1601338432122371,0.25095602294455066,0.14579349904397704,0.5225557680050986,0.12918373871813993,0.5986042065009562,0.1708334035780017,0.4684130019120457,0.061947374649098,0.9100000000000004,0.9100000000000004,0.9100000000000004,0.9100000000000004,,,,,0.8699999999999994,0.8699999999999994,0.8699999999999994,0.8699999999999994,0.9131739961759082,0.9131739961759082,0.8295219885277246,0.8295219885277246,0.5809560229445507,0.5809560229445507,0.8525557680050986,0.8525557680050986,0.9286042065009563,0.9286042065009563,0.7984130019120457,0.7984130019120457
jnk1_edge_18626-1_18624-1,jnk1,edge_18626-1_18624-1,18626-1,18624-1,kilocalories / mole,0.38,0.21,0.5566666666666666,0.09930091539463902,0.5566666666666666,0.0956559615656548,,,,,0.9933333333333332,0.09313722091362765,0.9933333333333332,0.09499679346380632,1.0731357552581262,0.04063097514340344,1.125717017208413,0.09082217973231357,0.1147227533460803,0.033460803059273424,0.6895156150414273,0.310129876561512,0.9960325047801146,0.06943602993199496,0.8267272147864881,0.035083571416438905,0.17666666666666664,0.17666666666666664,0.17666666666666664,0.17666666666666664,,,,,0.6133333333333332,0.6133333333333332,0.6133333333333332,0.6133333333333332,0.6931357552581262,0.6931357552581262,0.745717017208413,0.745717017208413,-0.2652772466539197,0.2652772466539197,0.3095156150414273,0.3095156150414273,0.6160325047801146,0.6160325047801146,0.44672721478648814,0.44672721478648814
jnk1_edge_18626-1_18625-1,jnk1,edge_18626-1_18625-1,18626-1,18625-1,kilocalories / mole,0.77,0.21,-0.029999999999999954,0.1074621081094651,-0.029999999999999954,0.10659343049457301,,,,,1.0266666666666666,0.1791280846916323,1.0266666666666666,0.1784391006627778,1.445984703632887,0.033460803059273424,0.7074569789674952,0.11233269598470362,0.47562141491395793,0.41826003824091773,0.3816634799235182,0.24466051503676647,0.6143212237093689,0.11406408494755192,0.9139324410452516,0.11746451332294731,-0.7999999999999999,0.7999999999999999,-0.7999999999999999,0.7999999999999999,,,,,0.2566666666666666,0.2566666666666666,0.2566666666666666,0.2566666666666666,0.675984703632887,0.675984703632887,-0.06254302103250486,0.06254302103250486,-0.2943785850860421,0.2943785850860421,-0.38833652007648184,0.38833652007648184,-0.1556787762906311,0.1556787762906311,0.1439324410452516,0.1439324410452516
jnk1_edge_18626-1_18627-1,jnk1,edge_18626-1_18627-1,18626-1,18627-1,kilocalories / mole,0.39,0.22,0.14,0.046150625245848315,0.14,0.04823185383669029,,,,,0.07666666666666662,0.1725001471813659,0.07666666666666662,0.16926705430548075,0.3967495219885277,0.08126195028680688,0.4326003824091778,0.07648183556405354,0.1577437858508604,0.08604206500956021,0.3696558317399617,0.10313371206614459,0.4541013384321223,0.08496287531131469,0.26594008922880813,0.05568466657458579,-0.25,0.25,-0.25,0.25,,,,,-0.3133333333333334,0.3133333333333334,-0.3133333333333334,0.3133333333333334,0.006749521988527685,0.006749521988527685,0.042600382409177795,0.042600382409177795,-0.2322562141491396,0.2322562141491396,-0.02034416826003832,0.02034416826003832,0.06410133843212229,0.06410133843212229,-0.12405991077119188,0.12405991077119188
jnk1_edge_18626-1_18628-1,jnk1,edge_18626-1_18628-1,18626-1,18628-1,kilocalories / mole,0.17,0.23,0.5333333333333333,0.11470324953120711,0.5333333333333333,0.11727788880575991,,,,,0.20333333333333328,0.2589623963703497,0.20333333333333328,0.26369810070027244,1.2021988527724665,0.05497131931166348,0.752868068833652,0.08365200764818355,0.16969407265774378,0.3776290630975143,0.7860866794136389,0.09088441883058969,0.7190439770554494,0.08152734089737788,0.5820235818992989,0.11717634583188526,0.3633333333333333,0.3633333333333333,0.3633333333333333,0.3633333333333333,,,,,0.03333333333333327,0.03333333333333327,0.03333333333333327,0.03333333333333327,1.0321988527724666,1.0321988527724666,0.5828680688336519,0.5828680688336519,-0.00030592734225623475,0.00030592734225623475,0.6160866794136388,0.6160866794136388,0.5490439770554494,0.5490439770554494,0.4120235818992989,0.4120235818992989
jnk1_edge_18626-1_18630-1,jnk1,edge_18626-1_18630-1,18626-1,18630-1,kilocalories / mole,-0.28,0.14,0.5666666666666667,0.09687979447710716,0.5666666666666667,0.09642031807369231,,,,,0.4566666666666666,0.11680715265774969,0.4566666666666666,0.1159059422914256,0.7911089866156787,0.05975143403441682,0.5568833652007648,0.0788718929254302,-0.10038240917782026,0.1577437858508604,0.2982026768642445,0.31463593183242594,0.6098279158699806,0.07809713171154538,0.4260691523263225,0.05495340199283773,0.8466666666666667,0.8466666666666667,0.8466666666666667,0.8466666666666667,,,,,0.7366666666666666,0.7366666666666666,0.7366666666666666,0.7366666666666666,1.0711089866156787,1.0711089866156787,0.8368833652007648,0.8368833652007648,0.17961759082217976,0.17961759082217976,0.5782026768642445,0.5782026768642445,0.8898279158699807,0.8898279158699807,0.7060691523263225,0.7060691523263225
jnk1_edge_18626-1_18632-1,jnk1,edge_18626-1_18632-1,18626-1,18632-1,kilocalories / mole,-0.22,0.3,-0.6900000000000001,0.05775886841322698,-0.6900000000000001,0.05617775136658844,,,,,-0.15333333333333332,0.10339601484174786,-0.15333333333333332,0.10039017728707893,0.16969407265774378,0.03585086042065009,0.004780114722753346,0.11233269598470362,-0.05736137667304015,0.09321223709369025,-0.09830465264499659,0.05938583076639604,-0.11280114722753365,0.07202449353054789,-0.009055130656469087,0.04560919302156779,-0.4700000000000001,0.4700000000000001,-0.4700000000000001,0.4700000000000001,,,,,0.06666666666666668,0.06666666666666668,0.06666666666666668,0.06666666666666668,0.3896940726577438,0.3896940726577438,0.22478011472275336,0.22478011472275336,0.16263862332695986,0.16263862332695986,0.12169534735500341,0.12169534735500341,0.10719885277246635,0.10719885277246635,0.2109448693435309,0.2109448693435309
jnk1_edge_18626-1_18634-1,jnk1,edge_18626-1_18634-1,18626-1,18634-1,kilocalories / mole,-1.14,0.15,-1.78,0.3044600427503587,-1.78,0.3126001908075648,,,,,-1.8966666666666672,0.40297542372016637,-1.8966666666666672,0.4078573880365834,-1.4770554493307837,0.08365200764818355,-1.6324091778202676,0.17925430210325047,-0.920172084130019,0.7337476099426385,-1.8694008922880825,0.3733900151556819,-1.971166347992353,0.6133892874999497,-1.4815758444869345,0.21504425568139998,-0.6400000000000001,0.6400000000000001,-0.6400000000000001,0.6400000000000001,,,,,-0.7566666666666673,0.7566666666666673,-0.7566666666666673,0.7566666666666673,-0.3370554493307838,0.3370554493307838,-0.4924091778202677,0.4924091778202677,0.21982791586998085,0.21982791586998085,-0.7294008922880826,0.7294008922880826,-0.831166347992353,0.831166347992353,-0.34157584448693457,0.34157584448693457
jnk1_edge_18626-1_18658-1,jnk1,edge_18626-1_18658-1,18626-1,18658-1,kilocalories / mole,-0.84,0.17,-2.51,0.10927228316926593,-2.51,0.11072580807399411,,,,,-3.3400000000000003,0.5960850445063155,-3.3400000000000003,0.5992128962579147,-1.0205544933078392,0.394359464627151,-2.2370936902485656,0.5282026768642447,-1.3360420650095601,1.0850860420650095,-2.4553664754620765,0.9039331793172982,-3.3329063097514338,0.3294106089530358,-1.9834225621414914,0.3506464168286169,-1.67,1.67,-1.67,1.67,,,,,-2.5000000000000004,2.5000000000000004,-2.5000000000000004,2.5000000000000004,-0.18055449330783924,0.18055449330783924,-1.3970936902485658,1.3970936902485658,-0.49604206500956016,0.49604206500956016,-1.6153664754620767,1.6153664754620767,-2.492906309751434,2.492906309751434,-1.1434225621414913,1.1434225621414913
