name,ligand0,ligand1,exp_dg[kcal/mol],exp_dg_error[kcal/mol],pred_dg[kcal/mol],pred_dg_error[kcal/mol]
edge_CAT-13a_CAT-13m,lig_CAT-13a,lig_CAT-13m,0.08000000000000007,0.0,-1.27,0.18
edge_CAT-13a_CAT-17g,lig_CAT-13a,lig_CAT-17g,-0.9000000000000004,0.0,-0.59,0.30
edge_CAT-13a_CAT-17i,lig_CAT-13a,lig_CAT-17i,-0.6300000000000008,0.0,-1.85,0.15
edge_CAT-17g_CAT-13c,lig_CAT-17g,lig_CAT-13c,0.41000000000000014,0.0,1.44,0.54
edge_CAT-17g_CAT-13i,lig_CAT-17g,lig_CAT-13i,0.47000000000000064,0.0,-0.29,0.55
edge_CAT-17g_CAT-17c,lig_CAT-17g,lig_CAT-17c,-0.11999999999999922,0.0,-0.75,0.28
edge_CAT-17g_CAT-17d,lig_CAT-17g,lig_CAT-17d,0.3100000000000005,0.0,0.66,0.16
edge_CAT-17g_CAT-17f,lig_CAT-17g,lig_CAT-17f,0.3100000000000005,0.0,-1.41,0.35
edge_CAT-17i_CAT-13f,lig_CAT-17i,lig_CAT-13f,0.370000000000001,0.0,1.42,0.26
edge_CAT-17i_CAT-17a,lig_CAT-17i,lig_CAT-17a,-1.2699999999999996,0.0,-1.18,0.09
edge_CAT-13b_CAT-17g,lig_CAT-13b,lig_CAT-17g,-0.6199999999999992,0.0,-0.83,0.39
edge_CAT-13c_CAT-17i,lig_CAT-13c,lig_CAT-17i,-0.14000000000000057,0.0,-2.09,0.35
edge_CAT-13d_CAT-13b,lig_CAT-13d,lig_CAT-13b,1.3499999999999996,0.0,1.76,0.21
edge_CAT-13d_CAT-13f,lig_CAT-13d,lig_CAT-13f,1.370000000000001,0.0,0.96,0.26
edge_CAT-13d_CAT-13h,lig_CAT-13d,lig_CAT-13h,0.8300000000000001,0.0,0.78,0.26
edge_CAT-13d_CAT-13i,lig_CAT-13d,lig_CAT-13i,1.200000000000001,0.0,0.86,0.31
edge_CAT-13d_CAT-17a,lig_CAT-13d,lig_CAT-17a,-0.2699999999999996,0.0,-0.23,0.23
edge_CAT-13d_CAT-17d,lig_CAT-13d,lig_CAT-17d,1.040000000000001,0.0,2.71,0.16
edge_CAT-13d_CAT-17h,lig_CAT-13d,lig_CAT-17h,0.14000000000000057,0.0,0.04,0.05
edge_CAT-13h_CAT-17i,lig_CAT-13h,lig_CAT-17i,0.16999999999999993,0.0,-0.50,0.23
edge_CAT-13e_CAT-17g,lig_CAT-13e,lig_CAT-17g,0.22000000000000064,0.0,0.53,0.60
