name,smiles,exp_dg[kcal/mol],exp_dg_error[kcal/mol],pred_dg[kcal/mol],pred_dg_error[kcal/mol]
17124-1,CCOc1c(c(cc(n1)NC(=O)Cc2cc(c(cc2OC)Br)OC)N)C#N,-9.76,0.29,-10.64,0.19
18631-1,CCOc1c(c(cc(n1)NC(=O)Cc2ccccc2OC)N)C#N,-9.5,0.23,-9.74,0.40
18634-1,CCOc1c(c(cc(n1)NC(=O)Cc2cc(ccc2OC)OC)N)C#N,-10.09,0.04,-10.12,0.13
18626-1,CCOc1c(c(cc(n1)NC(=O)Cc2cccc(c2)Cl)N)C#N,-8.95,0.14,-8.38,0.11
18624-1,CCOc1c(c(cc(n1)NC(=O)Cc2ccccc2)N)C#N,-8.57,0.15,-7.37,0.12
18625-1,CCOc1c(c(cc(n1)NC(=O)Cc2ccccc2Cl)N)C#N,-8.18,0.16,-7.50,0.13
18627-1,CCOc1c(c(cc(n1)NC(=O)Cc2ccc(cc2)Cl)N)C#N,-8.56,0.17,-7.99,0.12
18628-1,CCOc1c(c(cc(n1)NC(=O)Cc2ccccc2C)N)C#N,-8.78,0.18,-7.64,0.12
18630-1,CCOc1c(c(cc(n1)NC(=O)Cc2ccc(cc2)C)N)C#N,-9.23,0.01,-7.77,0.12
18632-1,CCOc1c(c(cc(n1)NC(=O)Cc2cccc(c2)OC)N)C#N,-9.17,0.27,-8.32,0.14
18658-1,COc1ccc(c(c1)CC(=O)Nc2cc(c(c(n2)OCCO)C#N)N)OC,-9.79,0.09,-10.46,0.22
18659-1,COCCOc1c(c(cc(n1)NC(=O)Cc2cc(ccc2OC)OC)N)C#N,-9.55,0.07,-9.74,0.25
18660-1,COc1ccc(c(c1)CC(=O)Nc2cc(c(c(n2)OCCS(=O)(=O)C)C#N)N)OC,-8.78,0.07,-11.19,0.47
18629-1,CCOc1c(c(cc(n1)NC(=O)Cc2cccc(c2)C)N)C#N,-8.75,0.08,-8.02,0.15
18652-1,CC(C)Oc1c(c(cc(n1)NC(=O)Cc2cc(c(cc2OC)S(=O)(=O)C)OC)N)C#N,-10.78,0.09,-12.39,1.07
18633-1,CCOc1c(c(cc(n1)NC(=O)Cc2ccc(cc2)OC)N)C#N,-9.26,0.2,-8.15,0.14
18637-1,CCOc1c(c(cc(n1)NC(=O)Cc2cc(c(cc2OC)NC(=O)C)OC)N)C#N,-10.23,0.27,-10.68,0.38
18635-1,CCOc1c(c(cc(n1)NC(=O)Cc2cc(ccc2C)C)N)C#N,-7.35,0.09,-7.76,0.15
18636-1,CCOc1c(c(cc(n1)NC(=O)Cc2cc(ccc2Br)Br)N)C#N,-7.58,0.32,-7.50,0.14
18638-1,CCOc1c(c(cc(n1)NC(=O)Cc2cc(c(cc2OC)S(=O)(=O)C)OC)N)C#N,-10.19,0.08,-10.82,0.20
18639-1,CCOc1c(c(cc(n1)NC(=O)Cc2cc(c(cc2OC)[N+](=O)[O-])OC)N)C#N,-9.83,0.12,-10.71,0.16
