name,smiles,exp_dg[kcal/mol],exp_dg_error[kcal/mol],pred_dg[kcal/mol],pred_dg_error[kcal/mol]
0529,[H][C]1=[N][C]([H])=[C]([H])[C]([C]2=[N][N]3[C](=[C]2[C]2=[C]([H])[C]([H])=[C]([O][C]([H])([H])[C]4=[C]([H])[C]([H])=[C]([C]([H])([H])[C]([H])([C]([H])([H])[H])[C]([H])([H])[H])[C]([H])=[C]4[H])[C]([H])=[C]2[H])[C](=[O])[N]([H])[C]([H])([H])[C]3([H])[H])=[C]1[H],-9.42,0.0,-11.03,0.16
6770,[H][C]1=[N][C]([H])=[C]([H])[C]([C]2=[N][N]3[C](=[C]2[C]2=[C]([H])[C]([H])=[C]([O][C]([H])([H])[C]4=[C]([H])[C]([H])=[C]([C](=[O])[O][C]([H])([H])[H])[C]([H])=[C]4[H])[C]([H])=[C]2[H])[C](=[O])[N]([H])[C]([H])([H])[C]3([H])[H])=[C]1[H],-7.07,0.43,-8.72,0.16
0681,[H][C]1=[N][C]([H])=[C]([H])[C]([C]2=[N][N]3[C](=[C]2[C]2=[C]([H])[C]([H])=[C]([O][C]([H])([H])[C]4=[C]([H])[C]([H])=[C]([O][C]([H])([F])[F])[C]([H])=[C]4[H])[C]([H])=[C]2[H])[C](=[O])[N]([H])[C]([H])([H])[C]3([H])[H])=[C]1[H],-9.39,0.11,-9.39,0.14
1537,[H][C]1=[N][C]([H])=[C]([H])[C]([C]2=[N][N]3[C](=[C]2[C]2=[C]([H])[C]([H])=[C]([O][C]([H])([H])[C]4=[C]([H])[C]([H])=[C]([C]([F])([F])[F])[C]([H])=[C]4[H])[C]([H])=[C]2[H])[C](=[O])[N]([H])[C]([H])([H])[C]3([H])[H])=[C]1[H],-9.22,0.05,-9.70,0.19
1872,[H][C]1=[N][C]([H])=[C]([H])[C]([C]2=[N][N]3[C](=[C]2[C]2=[C]([H])[C]([H])=[C]([O][C]([H])([H])[C]4=[C]([H])[C]([H])=[C]([O][C]([F])([F])[F])[C]([H])=[C]4[H])[C]([H])=[C]2[H])[C](=[O])[N]([H])[C]([H])([H])[C]3([H])[H])=[C]1[H],-9.5,0.11,-9.39,0.14
5109,[H][O][C]([H])([H])[C]([H])([H])[N]1[C](=[O])[C]2=[C]([C]3=[C]([H])[C]([H])=[C]([O][C]([H])([H])[C]4=[C]([H])[C]([H])=[C]([C](=[C]([H])[H])[C]([H])([H])[H])[C]([H])=[C]4[H])[C]([H])=[C]3[H])[C]([C]3=[C]([H])[C]([H])=[N][C]([H])=[C]3[H])=[N][N]2[C]([H])([H])[C]1([H])[H],-9.43,0.06,-8.71,0.20
7454,[H][C]1=[N][C]([H])=[C]([H])[C]([C]2=[N][N]3[C](=[C]2[C]2=[C]([H])[C]([H])=[C]([O][C]([H])([H])[C]4=[C]([H])[C]([C]#[N])=[C]([H])[C]([H])=[C]4[H])[C]([H])=[C]2[H])[C](=[O])[N]([H])[C]([H])([H])[C]3([H])[H])=[C]1[H],-7.87,0.06,-9.60,0.29
0798,[H][C]1=[N][C]([H])=[C]([H])[C]([C]2=[N][N]3[C](=[C]2[C]2=[C]([H])[C]([H])=[C]([O][C]([H])([H])[C]4=[C]([H])[C]([H])=[C]([C]([H])([C]([H])([H])[H])[C]([H])([H])[H])[C]([H])=[C]4[H])[C]([H])=[C]2[H])[C](=[O])[N]([H])[C]([H])([H])[C]3([H])[H])=[C]1[H],-10.31,0.12,-8.99,0.12
1859,[H][C]1=[N][C]([H])=[C]([H])[C]([C]2=[N][N]3[C](=[C]2[C]2=[C]([H])[C]([C]#[N])=[C]([O][C]([H])([H])[C]4=[C]([H])[C]([H])=[C]([C]([H])([C]([H])([H])[H])[C]([H])([H])[H])[C]([H])=[C]4[H])[C]([H])=[C]2[H])[C](=[O])[N]([H])[C]([H])([H])[C]3([H])[H])=[C]1[H],-8.73,0.05,-11.87,0.21
4451,[H][O][C]([C]1=[C]([H])[C]([H])=[C]([C]([H])([H])[O][C]2=[C]([H])[C]([H])=[C]([C]3=[C]4[C](=[O])[N]([H])[C]([H])([H])[C]([H])([H])[N]4[N]=[C]3[C]3=[C]([H])[C]([H])=[N][C]([H])=[C]3[H])[C]([H])=[C]2[H])[C]([H])=[C]1[H])([C]([H])([H])[H])[C]([H])([H])[H],-8.52,0.19,-8.38,0.13
