name,smiles,exp_dg[kcal/mol],exp_dg_error[kcal/mol],pred_dg[kcal/mol],pred_dg_error[kcal/mol]
0529,[H][C]1=[N][C]([H])=[C]([H])[C]([C]2=[N][N]3[C](=[C]2[C]2=[C]([H])[C]([H])=[C]([O][C]([H])([H])[C]4=[C]([H])[C]([H])=[C]([C]([H])([H])[C]([H])([C]([H])([H])[H])[C]([H])([H])[H])[C]([H])=[C]4[H])[C]([H])=[C]2[H])[C](=[O])[N]([H])[C]([H])([H])[C]3([H])[H])=[C]1[H],-9.42,0.0,-11.16,0.20
6770,[H][C]1=[N][C]([H])=[C]([H])[C]([C]2=[N][N]3[C](=[C]2[C]2=[C]([H])[C]([H])=[C]([O][C]([H])([H])[C]4=[C]([H])[C]([H])=[C]([C](=[O])[O][C]([H])([H])[H])[C]([H])=[C]4[H])[C]([H])=[C]2[H])[C](=[O])[N]([H])[C]([H])([H])[C]3([H])[H])=[C]1[H],-7.07,0.43,-9.08,0.23
0681,[H][C]1=[N][C]([H])=[C]([H])[C]([C]2=[N][N]3[C](=[C]2[C]2=[C]([H])[C]([H])=[C]([O][C]([H])([H])[C]4=[C]([H])[C]([H])=[C]([O][C]([H])([F])[F])[C]([H])=[C]4[H])[C]([H])=[C]2[H])[C](=[O])[N]([H])[C]([H])([H])[C]3([H])[H])=[C]1[H],-9.39,0.11,-9.50,0.18
1537,[H][C]1=[N][C]([H])=[C]([H])[C]([C]2=[N][N]3[C](=[C]2[C]2=[C]([H])[C]([H])=[C]([O][C]([H])([H])[C]4=[C]([H])[C]([H])=[C]([C]([F])([F])[F])[C]([H])=[C]4[H])[C]([H])=[C]2[H])[C](=[O])[N]([H])[C]([H])([H])[C]3([H])[H])=[C]1[H],-9.22,0.05,-9.85,0.21
1872,[H][C]1=[N][C]([H])=[C]([H])[C]([C]2=[N][N]3[C](=[C]2[C]2=[C]([H])[C]([H])=[C]([O][C]([H])([H])[C]4=[C]([H])[C]([H])=[C]([O][C]([F])([F])[F])[C]([H])=[C]4[H])[C]([H])=[C]2[H])[C](=[O])[N]([H])[C]([H])([H])[C]3([H])[H])=[C]1[H],-9.5,0.11,-9.49,0.17
7454,[H][C]1=[N][C]([H])=[C]([H])[C]([C]2=[N][N]3[C](=[C]2[C]2=[C]([H])[C]([H])=[C]([O][C]([H])([H])[C]4=[C]([H])[C]([C]#[N])=[C]([H])[C]([H])=[C]4[H])[C]([H])=[C]2[H])[C](=[O])[N]([H])[C]([H])([H])[C]3([H])[H])=[C]1[H],-7.87,0.06,-9.70,0.33
0798,[H][C]1=[N][C]([H])=[C]([H])[C]([C]2=[N][N]3[C](=[C]2[C]2=[C]([H])[C]([H])=[C]([O][C]([H])([H])[C]4=[C]([H])[C]([H])=[C]([C]([H])([C]([H])([H])[H])[C]([H])([H])[H])[C]([H])=[C]4[H])[C]([H])=[C]2[H])[C](=[O])[N]([H])[C]([H])([H])[C]3([H])[H])=[C]1[H],-10.31,0.12,-10.17,0.15
1859,[H][C]1=[N][C]([H])=[C]([H])[C]([C]2=[N][N]3[C](=[C]2[C]2=[C]([H])[C]([C]#[N])=[C]([O][C]([H])([H])[C]4=[C]([H])[C]([H])=[C]([C]([H])([C]([H])([H])[H])[C]([H])([H])[H])[C]([H])=[C]4[H])[C]([H])=[C]2[H])[C](=[O])[N]([H])[C]([H])([H])[C]3([H])[H])=[C]1[H],-8.73,0.05,-12.06,0.22
4451,[H][O][C]([C]1=[C]([H])[C]([H])=[C]([C]([H])([H])[O][C]2=[C]([H])[C]([H])=[C]([C]3=[C]4[C](=[O])[N]([H])[C]([H])([H])[C]([H])([H])[N]4[N]=[C]3[C]3=[C]([H])[C]([H])=[N][C]([H])=[C]3[H])[C]([H])=[C]2[H])[C]([H])=[C]1[H])([C]([H])([H])[H])[C]([H])([H])[H],-8.52,0.19,-8.42,0.15
9022,[H][C]1=[N][C]([H])=[C]([H])[C]([C]2=[N][N]3[C](=[C]2[C]2=[C]([H])[C]([H])=[C]([O][C]([H])([H])[C]4=[C]([C]([H])([H])[H])[C]([H])=[C]([C]([H])([C]([H])([H])[H])[C]([H])([H])[H])[C]([H])=[C]4[H])[C]([H])=[C]2[H])[C](=[O])[N]([H])[C]([H])([H])[C]3([H])[H])=[C]1[H],-9.07,0.34,-8.73,0.20
1495,[H][O][C]([H])([H])[C]([H])([H])[N]1[C](=[O])[C]2=[C]([C]3=[C]([H])[C]([H])=[C]([O][C]([H])([H])[C]4=[C]([H])[C]([H])=[C]([C]([O][H])([C]([H])([H])[H])[C]([H])([H])[H])[C]([H])=[C]4[H])[C]([H])=[C]3[H])[C]([C]3=[C]([H])[C]([H])=[N][C]([H])=[C]3[H])=[N][N]2[C]([H])([H])[C]1([H])[H],-8.06,0.15,-7.63,0.21
2606,[H][O][C]([H])([H])[C]([H])([H])[N]1[C](=[O])[C]2=[C]([C]3=[C]([H])[C]([H])=[C]([O][C]([H])([H])[C]4=[C]([H])[C]([H])=[C]([C]([H])([H])[C]([H])([C]([H])([H])[H])[C]([H])([H])[H])[C]([H])=[C]4[H])[C]([H])=[C]3[H])[C]([C]3=[C]([H])[C]([H])=[N][C]([H])=[C]3[H])=[N][N]2[C]([H])([H])[C]1([H])[H],-9.58,0.07,-10.76,0.31
3040,[H][O][C]([H])([H])[C]([H])([H])[N]1[C](=[O])[C]2=[C]([C]3=[C]([H])[C]([H])=[C]([O][C]([H])([H])[C]4=[C]([H])[C]([H])=[C]([O][C]([F])([F])[F])[C]([H])=[C]4[H])[C]([H])=[C]3[H])[C]([C]3=[C]([H])[C]([H])=[N][C]([H])=[C]3[H])=[N][N]2[C]([H])([H])[C]1([H])[H],-9.51,0.34,-9.46,0.24
5109,[H][O][C]([H])([H])[C]([H])([H])[N]1[C](=[O])[C]2=[C]([C]3=[C]([H])[C]([H])=[C]([O][C]([H])([H])[C]4=[C]([H])[C]([H])=[C]([C](=[C]([H])[H])[C]([H])([H])[H])[C]([H])=[C]4[H])[C]([H])=[C]3[H])[C]([C]3=[C]([H])[C]([H])=[N][C]([H])=[C]3[H])=[N][N]2[C]([H])([H])[C]1([H])[H],-9.43,0.06,-8.08,0.27
6691,[H][O][C]([H])([H])[C]([H])([H])[N]1[C](=[O])[C]2=[C]([C]3=[C]([H])[C]([H])=[C]([O][C]([H])([H])[C]4=[C]([H])[C]([H])=[C]([C]5([H])[C]([H])([H])[C]5([H])[H])[C]([H])=[C]4[H])[C]([H])=[C]3[H])[C]([C]3=[C]([H])[C]([H])=[N][C]([H])=[C]3[H])=[N][N]2[C]([H])([H])[C]1([H])[H],-9.75,0.04,-9.00,0.26
