FF_REF,FF,set,statistic,mle,observed,stderr,mean,low,high
Exp.,Exp.,all,N,1128.0,,,,,
Exp.,Exp.,all,RMSE,0.20300312599560844,0.0,0.005281043006628043,0.20171846125800236,0.19083439641904018,0.2119024307061314
Exp.,Exp.,all,MUE,0.14738260166452177,0.0,0.004219778880636418,0.1485969622925858,0.14054916192732578,0.15673821489778753
Exp.,Exp.,jnk1,N,31.0,,,,,
Exp.,Exp.,jnk1,RMSE,0.07623561638211769,0.0,0.02026886870426761,0.08803342845492296,0.05353487728206804,0.13221111935985588
Exp.,Exp.,jnk1,MUE,0.06097967368597994,0.0,0.012520082174950592,0.06066456345349045,0.03834767753179144,0.08681841772422956
Exp.,Exp.,pde2,N,34.0,,,,,
Exp.,Exp.,pde2,RMSE,0.25708851812787203,0.0,0.04476222880479341,0.2722376785070684,0.19422486938280253,0.3642851495127586
Exp.,Exp.,pde2,MUE,0.19198090700819714,0.0,0.030261454080162408,0.20094325637782662,0.14232749451148882,0.26289188885288034
Exp.,Exp.,thrombin,N,16.0,,,,,
Exp.,Exp.,thrombin,RMSE,0.038162438728903104,0.0,0.013572009389728603,0.0453481969053228,0.021492470277093716,0.07372488189852319
Exp.,Exp.,thrombin,MUE,0.025364690995066233,0.0,0.008837260815511528,0.03082294441597103,0.015387179514733111,0.050400496942690984
Exp.,Exp.,p38,N,56.0,,,,,
Exp.,Exp.,p38,RMSE,0.10015867005512831,0.0,0.016596999360065413,0.10672609694977452,0.07777093595427513,0.1436269275140757
Exp.,Exp.,p38,MUE,0.07467367124906049,0.0,0.010275620419673278,0.07492057730621716,0.05624300931843471,0.0973388077970591
Exp.,Exp.,ptp1b,N,49.0,,,,,
Exp.,Exp.,ptp1b,RMSE,0.21667438219793828,0.0,0.02302920938982663,0.22172663858411742,0.17891172760995172,0.26893948416694025
Exp.,Exp.,ptp1b,MUE,0.16837745448988484,0.0,0.019324339394736538,0.177060895311929,0.1413129362345731,0.2186117352498211
Exp.,Exp.,galectin,N,7.0,,,,,
Exp.,Exp.,galectin,RMSE,0.006562191105856241,0.0,0.0037128719988308015,0.008383491864272187,0.003068694107258009,0.01717363863945613
Exp.,Exp.,galectin,MUE,0.005718825480011383,0.0,0.00238554139932221,0.0059765019735072014,0.0025007879710300914,0.012044343420046946
Exp.,Exp.,cdk2,N,25.0,,,,,
Exp.,Exp.,cdk2,RMSE,0.10513363381136101,0.0,0.03372729634366549,0.11155940008610377,0.04993064937002416,0.1833215529086874
Exp.,Exp.,cdk2,MUE,0.05329034479514115,0.0,0.019929628632671906,0.060455007853040726,0.026899659996583673,0.10431482197082449
Exp.,Exp.,cmet,N,57.0,,,,,
Exp.,Exp.,cmet,RMSE,0.22011670506385306,0.0,0.020563356184849908,0.2205465807768381,0.18335131393390852,0.2610544947892274
Exp.,Exp.,cmet,MUE,0.17652202974824993,0.0,0.017199626424835725,0.17620510064854042,0.14395921711654017,0.21132193115546238
Exp.,Exp.,mcl1,N,71.0,,,,,
Exp.,Exp.,mcl1,RMSE,0.06864402390542272,0.0,0.010784417592075206,0.07290624713016805,0.05375580472486419,0.09657874815549154
Exp.,Exp.,mcl1,MUE,0.04642308667891891,0.0,0.006762939143908789,0.04784123003740503,0.0360689982752638,0.062491593289589656
Exp.,Exp.,bace,N,58.0,,,,,
Exp.,Exp.,bace,RMSE,0.2253336768251927,0.0,0.01988854588415594,0.22003392405512676,0.1825372679601039,0.25939414994835525
Exp.,Exp.,bace,MUE,0.1766461663650008,0.0,0.016645583922329316,0.17697338024221046,0.14487030527601716,0.21070123095067006
Exp.,Exp.,bace_hunt,N,60.0,,,,,
Exp.,Exp.,bace_hunt,RMSE,0.2141448781293044,0.0,0.020360290250410838,0.22093364379711747,0.18230146686918489,0.2611529750007704
Exp.,Exp.,bace_hunt,MUE,0.18105933477207123,0.0,0.016723610663698825,0.1778935044247254,0.14766780643811442,0.21122904061805048
Exp.,Exp.,bace_p2,N,26.0,,,,,
Exp.,Exp.,bace_p2,RMSE,0.16563645075674932,0.0,0.05882182857587105,0.19554643301764796,0.09588453998539331,0.3277232730843065
Exp.,Exp.,bace_p2,MUE,0.11760805918605848,0.0,0.03199208427179698,0.11508386803086369,0.06333842181897323,0.1842265970918739
Exp.,Exp.,tyk2,N,24.0,,,,,
Exp.,Exp.,tyk2,RMSE,0.22409574628508097,0.0,0.03219462793419989,0.2196147315186156,0.16177802038938174,0.2904480749811176
Exp.,Exp.,tyk2,MUE,0.17151786217435122,0.0,0.02786995901145297,0.17845335432265888,0.1273579571208873,0.23657579765620632
Exp.,Exp.,ros1,N,61.0,,,,,
